gas_pool_row_id,event_type,sample_role,regime_label,is_primary_eligible,is_zero_gas_observation,gas_units,effective_gas_price_gwei,eth_price_usd,transaction_gas_cost_eth,transaction_gas_cost_usd
0,clean_successful_take_transaction,primary,stress,True,False,100266,100.0,2751.25583333,0.0100266,27.5857417385
1,clean_successful_take_transaction,zero_inclusive_sensitivity,stress,False,True,198401,0.0,2704.47333333,0.0,0.0
2,clean_successful_take_transaction,primary,stress,True,False,228367,100.0,2704.47333333,0.0228367,61.7612461713
3,clean_successful_take_transaction,primary,stress,True,False,312828,37.4,2625.17583333,0.0116997672,30.7139461091
4,clean_successful_take_transaction,primary,stress,True,False,281492,13.2,2501.66166667,0.0037156944,9.29541024553
5,clean_successful_take_transaction,primary,stress,True,False,228372,120.0,2413.62583333,0.02740464,66.1445470572
6,clean_successful_take_transaction,primary,stress,True,False,361752,36.0,2257.1825,0.013023072,29.3954502146
7,clean_successful_take_transaction,primary,stress,True,False,94969,101.0,2223.98833333,0.009591869,21.3322047509
8,clean_successful_take_transaction,primary,normal,True,False,100208,100.0,2161.59,0.0100208,21.660861072
9,clean_successful_take_transaction,primary,stress,True,False,257709,120.0,2068.24083333,0.03092508,63.9605132301
10,clean_successful_take_transaction,primary,stress,True,False,95025,90.0,2068.24083333,0.00855225,17.6881126669
11,clean_successful_take_transaction,primary,stress,True,False,214536,120.0,2068.24083333,0.02574432,53.2454538504
12,clean_successful_take_transaction,primary,stress,True,False,106745,100.0,2091.15166667,0.0106745,22.3219984658
13,clean_successful_take_transaction,primary,stress,True,False,250122,50.0,2091.15166667,0.0125061,26.1521518585
14,clean_successful_take_transaction,primary,stress,True,False,214531,50.0,2091.15166667,0.01072655,22.4308429101
15,clean_successful_take_transaction,primary,stress,True,False,94980,270.0,2022.795,0.0256446,51.873768657
16,clean_successful_take_transaction,primary,stress,True,False,105398,100.0,2022.795,0.0105398,21.319854741
17,clean_successful_take_transaction,primary,stress,True,False,100203,199.404,2022.795,0.019980879012,40.4172221611
18,clean_successful_take_transaction,primary,stress,True,False,140963,38.0,1931.90833333,0.005356594,10.3484485869
19,clean_successful_take_transaction,primary,stress,True,False,368008,72.0,1931.90833333,0.026496576,51.1889559792
