sequence_id,relative_sequence_position,sequence_start_utc,sequence_end_utc,hourly_count,positive_run_length,preceding_zero_run_length_hours,sequence_size,duration_seconds,dominant_ilks
1,1,2022-05-05T20:00:00+0000,2022-05-05T20:00:00+0000,1,1,0.0,1,0,WBTC-C
2,2,2022-05-05T21:00:54+0000,2022-05-05T21:00:54+0000,1,1,0.015,1,0,ETH-A
3,3,2022-05-08T00:00:35+0000,2022-05-08T00:00:35+0000,3,1,49.994722,3,0,ETH-A;ETH-C
4,4,2022-05-08T04:00:07+0000,2022-05-08T04:00:07+0000,4,1,2.992222,4,0,ETH-A;ETH-C;WBTC-A
5,5,2022-05-08T19:00:03+0000,2022-05-08T19:00:03+0000,1,1,13.998889,1,0,ETH-A
6,6,2022-05-09T02:00:18+0000,2022-05-09T02:00:18+0000,1,1,6.004167,1,0,WBTC-C
7,7,2022-05-09T04:00:00+0000,2022-05-09T04:00:00+0000,1,1,0.995,1,0,ETH-A
8,8,2022-05-09T08:00:02+0000,2022-05-09T08:00:02+0000,1,1,3.000556,1,0,ETH-A
9,9,2022-05-09T12:00:01+0000,2022-05-09T12:00:01+0000,2,1,2.999722,2,0,ETH-A
10,10,2022-05-09T13:00:19+0000,2022-05-09T13:00:19+0000,3,1,0.005,3,0,WBTC-A;WBTC-B;WBTC-C
11,11,2022-05-09T18:00:01+0000,2022-05-09T18:00:01+0000,5,1,3.995,5,0,ETH-A;ETH-B;ETH-C;WBTC-A
12,12,2022-05-09T19:00:10+0000,2022-05-09T20:00:03+0000,9,1,0.0025,9,3593,ETH-A;ETH-B;ETH-C;WBTC-A
13,13,2022-05-10T01:00:08+0000,2022-05-10T01:00:08+0000,3,1,4.999444,3,0,ETH-A;WBTC-A
14,14,2022-05-11T14:00:00+0000,2022-05-11T14:51:55+0000,19,1,35.997778,19,3115,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-C
15,15,2022-05-11T19:00:05+0000,2022-05-11T19:00:05+0000,3,1,4.001389,3,0,ETH-A;ETH-B;ETH-C
16,16,2022-05-11T21:01:17+0000,2022-05-11T21:01:17+0000,7,1,1.02,7,0,ETH-A;ETH-C;WBTC-A
17,17,2022-05-11T22:01:24+0000,2022-05-11T22:05:12+0000,24,1,0.001944,24,228,ETH-A;ETH-B;ETH-C;WBTC-A
18,18,2022-05-12T05:00:12+0000,2022-05-12T07:00:06+0000,84,1,5.98,84,7194,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B
19,19,2022-05-12T08:00:21+0000,2022-05-12T09:00:32+0000,29,1,2.0025,29,3611,ETH-A;ETH-B;ETH-C;WBTC-A
20,20,2022-05-12T20:00:09+0000,2022-05-12T20:00:09+0000,1,1,10.996667,1,0,ETH-A
21,21,2022-05-12T23:00:27+0000,2022-05-12T23:00:27+0000,1,1,2.005,1,0,ETH-A
