event_id,partition,onset_timestamp_utc,completion_timestamp_utc,stable_run_start_timestamp_utc,trough_timestamp_utc,first_return_timestamp_utc,calendar_year,event_duration_hours,hours_below_0995,initial_peg_gap,minimum_price,maximum_downside_deviation,maximum_six_hour_burden,first_six_hour_burden,first_24_hour_burden,cumulative_downside_burden,burden_after_first_return,hours_to_minimum,hours_to_first_return,recovery_completion_hours,recovery_hours_from_trough,recovery_half_life,failed_recovery_attempts,post_recovery_overshoot,onset_eth_downside,event_eth_downside,eth_recovery_24h,eligible_first_six_hour_burden,eligible_maximum_downside_deviation,eligible_recovery_completion_hours,eligible_failed_recovery_attempts,eligible_initial_gap_contrast,eligible_eth_recovery_contrast
calibration__20200128T020000Z,calibration,2020-01-28T02:00:00Z,2020-01-29T02:00:00Z,2020-01-28T03:00:00Z,2020-01-28T02:00:00Z,2020-01-28T03:00:00Z,2020,24,1,0.00635541666667,0.993644583333,0.00135541666667,0.271083333333,0.0451805555555,0.0112951388889,0.271083333333,0,0,1,24,24,1,0,0.00381775,0,0.00877548907251,-0.0012796926501,True,True,True,True,True,True
calibration__20200317T160000Z,calibration,2020-03-17T16:00:00Z,2020-03-21T03:00:00Z,2020-03-20T04:00:00Z,2020-03-20T02:00:00Z,2020-03-17T19:00:00Z,2020,83,18,0.00574108333333,0.968637833333,0.0263621666667,0.782536111111,0.672102777778,0.363659722222,13.8420833333,11.8094666667,58,3,83,25,1,7,0.0249345833333,0.00847916112192,0,0.045527319553,True,True,True,True,True,True
calibration__20200505T100000Z,calibration,2020-05-05T10:00:00Z,2020-05-09T13:00:00Z,2020-05-08T14:00:00Z,2020-05-08T06:00:00Z,2020-05-05T13:00:00Z,2020,99,14,0.006679,0.990440166667,0.00455983333333,0.409702777778,0.145775,0.0457854166667,5.79826666667,4.92361666667,68,3,99,31,5,5,0.0250855833333,0,0,0.0138600930467,True,True,True,True,True,True
calibration__20200509T220000Z,calibration,2020-05-09T22:00:00Z,2020-05-10T22:00:00Z,2020-05-09T23:00:00Z,2020-05-09T22:00:00Z,2020-05-09T23:00:00Z,2020,24,1,0.005268,0.994732,0.000268,0.0535999999999,0.00893333333332,0.00223333333333,0.0535999999999,0,0,1,24,24,2,0,0.0204390833333,0.00683896566575,0.094917264638,-0.0907913217534,True,True,True,True,True,True
calibration__20200511T090000Z,calibration,2020-05-11T09:00:00Z,2020-05-12T18:00:00Z,2020-05-11T19:00:00Z,2020-05-11T18:00:00Z,2020-05-11T10:00:00Z,2020,33,3,0.00593608333333,0.981735916667,0.0132640833333,0.193675,0.0312027777778,0.0562194444444,1.34926666667,1.16205,9,1,33,24,1,1,0.0274315,0.0526222556904,0,0.0648514761515,True,True,True,True,True,True
calibration__20200515T040000Z,calibration,2020-05-15T04:00:00Z,2020-05-17T19:00:00Z,2020-05-16T20:00:00Z,2020-05-15T20:00:00Z,2020-05-15T06:00:00Z,2020,63,9,0.00593083333333,0.981295833333,0.0137041666667,0.738461111111,0.144847222222,0.220827083333,6.5937,5.72461666667,16,2,63,47,2,3,0.0261595,0,0,0.0307440850106,True,True,True,True,True,True
calibration__20200519T020000Z,calibration,2020-05-19T02:00:00Z,2020-05-20T04:00:00Z,2020-05-19T05:00:00Z,2020-05-19T03:00:00Z,2020-05-19T05:00:00Z,2020,26,3,0.00774875,0.9902585,0.0047415,0.749025,0.313236111111,0.0783090277778,1.87941666667,0,1,3,26,25,2,0,0.00987433333333,0,0,0.0236523073707,True,True,True,True,True,True
calibration__20200520T160000Z,calibration,2020-05-20T16:00:00Z,2020-05-23T04:00:00Z,2020-05-22T05:00:00Z,2020-05-21T14:00:00Z,2020-05-20T18:00:00Z,2020,60,16,0.0100426666667,0.978506166667,0.0164938333333,1,0.260852777778,0.394509722222,11.2060166667,9.6639,22,2,60,38,2,4,0.014005,0.0106266096734,0.0167250074518,0.00746764213564,True,True,True,True,True,True
calibration__20200523T100000Z,calibration,2020-05-23T10:00:00Z,2020-05-24T10:00:00Z,2020-05-23T11:00:00Z,2020-05-23T10:00:00Z,2020-05-23T11:00:00Z,2020,24,1,0.0055955,0.9944045,0.0005955,0.1191,0.01985,0.0049625,0.1191,0,0,1,24,24,1,0,0.00921008333333,0,0,0.0135104075833,True,True,True,True,True,True
calibration__20200524T160000Z,calibration,2020-05-24T16:00:00Z,2020-05-27T15:00:00Z,2020-05-26T16:00:00Z,2020-05-26T15:00:00Z,2020-05-24T17:00:00Z,2020,71,8,0.00848483333333,0.990726833333,0.00427316666667,0.696966666667,0.116161111111,0.0470736111111,3.92476666667,3.2278,47,1,71,24,1,4,0.0181596666667,0,0.0106002159359,0.0191578023091,True,True,True,True,True,True
calibration__20200611T160000Z,calibration,2020-06-11T16:00:00Z,2020-06-13T00:00:00Z,2020-06-12T01:00:00Z,2020-06-11T20:00:00Z,2020-06-12T01:00:00Z,2020,32,9,0.00933266666667,0.980559833333,0.0144401666667,0.986144444444,0.9639,0.365975,8.7834,0,4,9,32,28,1,0,0.0101781666667,0,0.0251725881645,0.0282928537768,True,True,True,True,True,True
