replication_prefix,candidate_index,moment,effect,effect_estimate,paired_mcse,analytic_mcse,replication_index_mcse,relative_disagreement,agreement_pass,snr,sign,prefix_32_estimate,prefix_32_sign,prefix_sign_stable,dominant_event,dominant_event_share,effective_event_count,analytic_convergence_slope,replication_index_convergence_slope,audit_classification,event_count,replication_count
16,0,failed_recovery_attempts_mean,A,-0.0031672297297297299,0.0010500975169796319,0.0010500975169796319,0.0010444212726097716,0.0054054449973243912,True,3.016129148499989,-1,-0.0031672297297297299,-1,True,calibration__20210616T110000Z,0.83827493261455532,1.4099527765542248,-0.27259954495662952,-0.2802914989834841,gate_pass,74,16
16,0,failed_recovery_attempts_mean,AB,0.0031672297297297299,0.0010500975169796319,0.0010500975169796319,0.0010444212726097716,0.0054054449973243912,True,3.016129148499989,1,0.0031672297297297299,1,True,calibration__20210616T110000Z,0.83827493261455532,1.4099527765542248,-0.27259954495662952,-0.2802914989834841,gate_pass,74,16
16,0,failed_recovery_attempts_mean,ABC,-0.0031672297297297299,0.0010500975169796319,0.0010500975169796319,0.0010444212726097716,0.0054054449973243912,True,3.016129148499989,-1,-0.0031672297297297299,-1,True,calibration__20210616T110000Z,0.83827493261455532,1.4099527765542248,-0.27259954495662952,-0.2802914989834841,gate_pass,74,16
16,0,failed_recovery_attempts_mean,AC,0.0031672297297297299,0.0010500975169796319,0.0010500975169796319,0.0010444212726097716,0.0054054449973243912,True,3.016129148499989,1,0.0031672297297297299,1,True,calibration__20210616T110000Z,0.83827493261455532,1.4099527765542248,-0.27259954495662952,-0.2802914989834841,gate_pass,74,16
16,0,failed_recovery_attempts_mean,B,-0.01583614864864865,0.0043910120177186041,0.004307639435937486,0.0043910120177186041,0.018987099430539733,True,3.606491757423266,-1,-0.01583614864864865,-1,True,calibration__20210212T030000Z,0.34598750600672756,5.0684001028373515,-0.39501618732521826,-0.43146909976877923,gate_pass,74,16
16,0,failed_recovery_attempts_mean,BC,0.0031672297297297299,0.0010500975169796319,0.0010500975169796319,0.0010444212726097716,0.0054054449973243912,True,3.016129148499989,1,0.0031672297297297299,1,True,calibration__20210616T110000Z,0.83827493261455532,1.4099527765542248,-0.23597496261765044,-0.25211018718517314,gate_pass,74,16
16,0,failed_recovery_attempts_mean,C,-0.0031672297297297299,0.0010500975169796319,0.0010500975169796319,0.0010444212726097716,0.0054054449973243912,True,3.016129148499989,-1,-0.0031672297297297299,-1,True,calibration__20210616T110000Z,0.83827493261455532,1.4099527765542248,-0.23597496261765044,-0.25211018718517314,gate_pass,74,16
16,0,first_six_hour_burden_mean,A,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74,,,gate_pass,74,16
16,0,first_six_hour_burden_mean,AB,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74,,,gate_pass,74,16
16,0,first_six_hour_burden_mean,ABC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74,,,gate_pass,74,16
16,0,first_six_hour_burden_mean,AC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74,,,gate_pass,74,16
16,0,first_six_hour_burden_mean,B,-7.1644801607911391e-05,7.1644801607911391e-05,5.2306733693003464e-05,7.1644801607911391e-05,0.26991585545506652,False,1,-1,-7.1644801607911391e-05,-1,True,calibration__20210421T210000Z,0.74107184837713846,1.6227673686454112,-0.34023111235805509,-0.47647159987205989,gate_pass,74,16
16,0,first_six_hour_burden_mean,BC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74,,,gate_pass,74,16
16,0,first_six_hour_burden_mean,C,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74,,,gate_pass,74,16
16,0,initial_gap_q4_q1_burden_contrast,A,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,0,initial_gap_q4_q1_burden_contrast,AB,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,0,initial_gap_q4_q1_burden_contrast,ABC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,0,initial_gap_q4_q1_burden_contrast,AC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,0,initial_gap_q4_q1_burden_contrast,B,-0.00017537427065048993,0.00017537427065048995,0.00017537427065048993,0.00017537427065048995,1.5455547847241687e-16,True,0.99999999999999989,-1,-0.00017537427065048993,-1,True,calibration__20210421T210000Z,1,1,-0.49550320482661142,-0.49927436246412765,gate_pass,74,16
16,0,initial_gap_q4_q1_burden_contrast,BC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,0,initial_gap_q4_q1_burden_contrast,C,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,0,maximum_downside_deviation_mean,A,-0.0014646229832154176,0.00014292291652494394,0.00014279416773973707,0.00014292291652494394,0.00090082674169605697,True,10.247642707177761,-1,-0.0014646229832154176,-1,True,calibration__20210616T110000Z,0.99997225436105741,1.0000554932905261,-0.3741196092937587,-0.36733046307910083,gate_pass,74,16
16,0,maximum_downside_deviation_mean,AB,0.0014646229832154176,0.00014292291652494394,0.00014279416773973707,0.00014292291652494394,0.00090082674169605697,True,10.247642707177761,1,0.0014646229832154176,1,True,calibration__20210616T110000Z,0.99997225436105741,1.0000554932905261,-0.3741196092937587,-0.36733046307910083,gate_pass,74,16
16,0,maximum_downside_deviation_mean,ABC,-0.0014646229832154176,0.00014292291652494394,0.00014279416773973707,0.00014292291652494394,0.00090082674169605697,True,10.247642707177761,-1,-0.0014646229832154176,-1,True,calibration__20210616T110000Z,0.99997225436105741,1.0000554932905261,-0.3741196092937587,-0.36733046307910083,gate_pass,74,16
16,0,maximum_downside_deviation_mean,AC,0.0014646229832154176,0.00014292291652494394,0.00014279416773973707,0.00014292291652494394,0.00090082674169605697,True,10.247642707177761,1,0.0014646229832154176,1,True,calibration__20210616T110000Z,0.99997225436105741,1.0000554932905261,-0.3741196092937587,-0.36733046307910083,gate_pass,74,16
16,0,maximum_downside_deviation_mean,B,-0.0019109003065729095,0.00014298560872268593,0.00014298560872268593,0.00014152941988375325,0.010184163650741221,True,13.364284165681411,-1,-0.0019109003065729095,-1,True,calibration__20210616T110000Z,0.99709184887921332,1.0058378255881553,-0.3489429974306939,-0.36362472912119037,gate_pass,74,16
16,0,maximum_downside_deviation_mean,BC,0.0018828560866727257,0.00014280904080239717,0.00014280904080239717,0.00014266431318253289,0.0010134345770485061,True,13.184431994596244,1,0.0018828560866727257,1,True,calibration__20210616T110000Z,0.9999712462792324,1.0000575096238464,-0.34886024521770143,-0.36624351161462132,gate_pass,74,16
16,0,maximum_downside_deviation_mean,C,-0.0018828560866727257,0.00014280904080239717,0.00014280904080239717,0.00014266431318253289,0.0010134345770485061,True,13.184431994596244,-1,-0.0018828560866727257,-1,True,calibration__20210616T110000Z,0.9999712462792324,1.0000575096238464,-0.34886024521770143,-0.36624351161462132,gate_pass,74,16
16,0,recovery_completion_hours_mean,A,-5.1321790540540544,0.38305481140053743,0.36111136321880266,0.38305481140053743,0.057285400231638972,True,13.398027909608066,-1,-5.1321790540540544,-1,True,calibration__20210616T110000Z,0.52240245370257876,2.8791723043522457,-0.46204533878198945,-0.48360100563054015,gate_pass,74,16
16,0,recovery_completion_hours_mean,AB,0.85472972972972971,0.11294180488410689,0.11120056261995057,0.11294180488410689,0.015417163431583803,True,7.5678773737217551,1,0.85472972972972971,1,True,calibration__20210616T110000Z,0.9820026642066102,1.0367795385252179,-0.37917466256904125,-0.36895078552178467,gate_pass,74,16
16,0,recovery_completion_hours_mean,ABC,-0.85472972972972971,0.11294180488410689,0.11120056261995057,0.11294180488410689,0.015417163431583803,True,7.5678773737217551,-1,-0.85472972972972971,-1,True,calibration__20210616T110000Z,0.9820026642066102,1.0367795385252179,-0.37917466256904125,-0.36895078552178467,gate_pass,74,16
16,0,recovery_completion_hours_mean,AC,5.1321790540540544,0.38305481140053743,0.36111136321880266,0.38305481140053743,0.057285400231638972,True,13.398027909608066,1,5.1321790540540544,1,True,calibration__20210616T110000Z,0.52240245370257876,2.8791723043522457,-0.46204533878198945,-0.48360100563054015,gate_pass,74,16
16,0,recovery_completion_hours_mean,B,-1.292652027027027,0.11408560336263247,0.11408560336263247,0.10811553104794951,0.052329760624629351,True,11.330544686854164,-1,-1.292652027027027,-1,True,calibration__20210616T110000Z,0.88093050170654852,1.2843303811615996,-0.33781981606920558,-0.34573044500400674,gate_pass,74,16
16,0,recovery_completion_hours_mean,BC,1.1659628378378379,0.10916590700227025,0.10916590700227025,0.10864427282868874,0.0047783615590777373,True,10.680649937838105,1,1.1659628378378379,1,True,calibration__20210616T110000Z,0.97868479899917349,1.043714163872939,-0.35649575281592927,-0.36419955927900993,gate_pass,74,16
16,0,recovery_completion_hours_mean,C,-6.3133445945945947,0.41970890304034753,0.36960604450277784,0.41970890304034753,0.11937525788618591,True,15.042198411473009,-1,-6.3133445945945947,-1,True,calibration__20210616T110000Z,0.51138652367695903,2.8895608300084712,-0.46014097110787688,-0.51422509092086777,gate_pass,74,16
16,36,failed_recovery_attempts_mean,A,-0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,-1,-0.0021114864864864866,-1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,AB,0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,1,0.0021114864864864866,1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,ABC,-0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,-1,-0.0021114864864864866,-1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,AC,0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,1,0.0021114864864864866,1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,B,-0.028293918918918918,0.0068306941383088834,0.0068306941383088834,0.0067909817323395924,0.0058138170389697638,True,4.142173305672828,-1,-0.028293918918918918,-1,True,calibration__20210421T210000Z,0.24461714868136064,8.2151279148233307,-0.4355200604809113,-0.44393895151097518,gate_pass,74,16
16,36,failed_recovery_attempts_mean,BC,0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,1,0.0021114864864864866,1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.061045400676039398,-0.06148609083085229,gate_pass,74,16
