row_type,system_or_diagnostic_scope,demand_definition,inventory_threshold,regime,composition_group,sample_count,demand_slack_hours,p75,p75_observation_bootstrap_low,p75_observation_bootstrap_high,p75_day_block_bootstrap_low,p75_day_block_bootstrap_high,p90,p90_observation_bootstrap_low,p90_observation_bootstrap_high,p90_day_block_bootstrap_low,p90_day_block_bootstrap_high,p95,p95_observation_bootstrap_low,p95_observation_bootstrap_high,p95_day_block_bootstrap_low,p95_day_block_bootstrap_high,maximum,upper_value_frequencies,saturation_diagnostic,composition_diagnostic,stability_diagnostic,classification,mapped_count
frontier,SYSTEM_ALL,primary_q75,17,pooled,all_compositions,36,35,14,8,20,8,20,26,17,45,14,45,45,23,46,17,46,46,"{""14"": 2, ""17"": 2, ""19"": 1, ""20"": 1, ""23"": 1, ""26"": 1, ""39"": 1, ""45"": 1, ""46"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,26
frontier,SYSTEM_ALL,primary_q75,17,execution_stress,all_compositions,29,28,14,9,26,7,20,39,17,46,12,45,45,19,46,14,46,46,"{""14"": 2, ""17"": 1, ""19"": 1, ""20"": 1, ""26"": 1, ""39"": 1, ""45"": 1, ""46"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,39
frontier,SYSTEM_ALL,primary_q75,17,non_stress,all_compositions,7,7,17,5,23,17,17,23,8,23,23,23,23,8,23,23,23,23,"{""17"": 1, ""23"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,23
calendar_block_p90,SYSTEM_ALL,primary_q75,17,pooled,all_compositions,8,8,19,,,,,45,,,,,45,,,,,45,,,,2022-05,diagnostic,
calendar_block_p90,SYSTEM_ALL,primary_q75,17,pooled,all_compositions,28,27,14,,,,,26,,,,,39,,,,,46,,,,2022-06,diagnostic,
frontier,SYSTEM_ALL,robustness_q67,12,pooled,all_compositions,48,45,14,7,20,7,20,24,17,45,14,39,39,20,46,20,46,46,"{""14"": 2, ""17"": 2, ""19"": 1, ""20"": 1, ""23"": 2, ""24"": 1, ""26"": 1, ""39"": 1, ""45"": 1, ""46"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,24
frontier,SYSTEM_ALL,robustness_q67,12,execution_stress,all_compositions,39,36,14,7,23,5,23,26,17,45,14,45,45,23,46,14,46,46,"{""14"": 2, ""17"": 1, ""19"": 1, ""20"": 1, ""23"": 1, ""24"": 1, ""26"": 1, ""39"": 1, ""45"": 1, ""46"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,26
frontier,SYSTEM_ALL,robustness_q67,12,non_stress,all_compositions,9,9,8,0,23,0,17,23,5,23,0,23,23,5,23,0,23,23,"{""17"": 1, ""23"": 1, ""8"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,23
calendar_block_p90,SYSTEM_ALL,robustness_q67,12,pooled,all_compositions,14,13,19,,,,,24,,,,,45,,,,,45,,,,2022-05,diagnostic,
calendar_block_p90,SYSTEM_ALL,robustness_q67,12,pooled,all_compositions,34,32,14,,,,,23,,,,,39,,,,,46,,,,2022-06,diagnostic,
frontier,SYSTEM_ALL,robustness_q90,35,pooled,all_compositions,14,13,26,10,45,7,39,45,20,46,10,46,46,26,46,10,46,46,"{""26"": 1, ""39"": 1, ""45"": 1, ""46"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,45
frontier,SYSTEM_ALL,robustness_q90,35,execution_stress,all_compositions,13,12,26,10,45,7,39,45,20,46,10,46,46,26,46,10,46,46,"{""26"": 1, ""39"": 1, ""45"": 1, ""46"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,45
frontier,SYSTEM_ALL,robustness_q90,35,non_stress,all_compositions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""0"": 1}",supporting_only_not_physical_capacity,pooled,reported_in_decision,shared_capacity_partially_identified,0
calendar_block_p90,SYSTEM_ALL,robustness_q90,35,pooled,all_compositions,5,5,20,,,,,45,,,,,45,,,,,45,,,,2022-05,diagnostic,
calendar_block_p90,SYSTEM_ALL,robustness_q90,35,pooled,all_compositions,9,8,26,,,,,46,,,,,46,,,,,46,,,,2022-06,diagnostic,
composition,SYSTEM_ALL,primary_q75,17,pooled,mixed_collateral,19,18,23,,,,,45,,,,,46,,,,,46,,,primary_group,,diagnostic,45
composition,SYSTEM_ALL,primary_q75,17,pooled,no_closure,13,13,0,,,,,0,,,,,0,,,,,0,,,primary_group,,diagnostic,0
composition,SYSTEM_ALL,primary_q75,17,pooled,single_collateral_dominant,4,4,2,,,,,5,,,,,5,,,,,5,,,primary_group,,diagnostic,5
