sample_identifier,collateral_scope,observation_count,positive_inventory_hours,high_demand_hours,demand_slack_hours,closure_count,closure_minimum,closure_p25,closure_median,closure_p75,closure_p90,closure_p95,closure_maximum,closure_mean,closure_standard_deviation,closure_index_of_dispersion,closure_zero_share,debt_throughput_count,debt_throughput_minimum,debt_throughput_p25,debt_throughput_median,debt_throughput_p75,debt_throughput_p90,debt_throughput_p95,debt_throughput_maximum,debt_throughput_mean,debt_throughput_standard_deviation,debt_throughput_index_of_dispersion,debt_throughput_zero_share,active_liquidator_count,active_liquidator_minimum,active_liquidator_p25,active_liquidator_median,active_liquidator_p75,active_liquidator_p90,active_liquidator_p95,active_liquidator_maximum,active_liquidator_mean,active_liquidator_standard_deviation,active_liquidator_index_of_dispersion,active_liquidator_zero_share,missing_newly_unsafe_share,missing_gas_cost_share,source_checksum
window=quiet_mature;scope=ETH-A,ETH-A,696,0,0,0,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=quiet_mature;scope=ETH-B,ETH-B,696,0,0,0,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=quiet_mature;scope=ETH-C,ETH-C,696,0,0,0,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=quiet_mature;scope=SYSTEM_ALL,SYSTEM_ALL,696,0,0,0,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=quiet_mature;scope=WBTC-A,WBTC-A,696,0,0,0,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=quiet_mature;scope=WBTC-B,WBTC-B,696,0,0,0,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=quiet_mature;scope=WBTC-C,WBTC-C,696,0,0,0,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,696,0,0,0,0,0,0,0,0,0,,1,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=terra_cefi;scope=ETH-A,ETH-A,1104,102,27,26,1104,0,0,0,0,0,0,34,0.36231884058,2.26326053431,14.1376811594,0.95018115942,1104,0,0,0,0,0,0,5430992.14529,31795.8490736,278285.382433,2435624.65958,0.95018115942,1104,0,0,0,0,0,0,3,0.0643115942029,0.307564469517,1.4708996734,0.95018115942,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=terra_cefi;scope=ETH-B,ETH-B,1104,107,36,35,1104,0,0,0,0,0,0,4,0.0226449275362,0.213735489404,2.01735507246,0.984601449275,1104,0,0,0,0,0,0,9920256.04773,15839.4945679,316727.425136,6333299.4246,0.984601449275,1104,0,0,0,0,0,0,2,0.0172101449275,0.143307865258,1.19331617086,0.984601449275,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
window=terra_cefi;scope=ETH-C,ETH-C,1104,75,22,21,1104,0,0,0,0,0,0,8,0.109601449275,0.667394230233,4.06395226973,0.961050724638,1104,0,0,0,0,0,0,5573137.13084,13569.4594756,197203.96512,2865950.84563,0.961050724638,1104,0,0,0,0,0,0,3,0.0416666666667,0.217202514643,1.13224637681,0.961050724638,1,1,d83c82ddda0e7dfe46849b75206f85a1587896355ffde75264566e60e2b8356b:8a0f38d09d5bab50f6434e3190c9dc7e8f8d88ac1f738e2b3b45f332b5016f3e
