recovery_path,confidence_scenario,capacity_contrast,left_capacity_profile,right_capacity_profile,metric,paired_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_positive_count,discordant_negative_count
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,backlog_area_dai_hours,128,-390771.782381,25860.9034404,-441459.153124,-340084.411638,-308602.842255,-881153.446827,-531719.736099,-181275.887153,-107601.315094,-81146.6042888,-1651076.34919,0,0,0,126
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,maximum_unresolved_tab_dai,128,-2385.2206747,846.114797039,-4043.6056769,-726.835672501,0,-19564.7156667,0,0,0,0,-68362.5352775,0,0,0,10
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,cumulative_realised_bad_debt_dai,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,unsafe_vault_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,peak_unsafe_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,newly_unsafe_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,cumulative_arrival_count,128,-57.6796875,20.5264734886,-97.9115755376,-17.4477994624,0,-164.95,-46.25,0,0,0,-2124,0,0,0,59
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,cumulative_attempts,128,17.4296875,7.71881173342,2.30081650249,32.5585584975,9,-29.9,-1,41.25,87.6,114.15,-796,196,0.6640625,85,33
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,cumulative_successful_closures,128,0.0390625,0.0390625,-0.0375,0.115625,0,0,0,0,0,0,0,5,0.0078125,1,0
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,cumulative_capacity_rejected,128,-58.5078125,3.19769763872,-64.7752998719,-52.2403251281,-49,-141.8,-72.25,-36.5,-26.8,-20.35,-212,-7,0,0,128
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,cumulative_unprofitable_attempts,128,17.390625,7.75125588611,2.19816346323,32.5830865368,9,-29.9,-1,41.25,87.6,114.15,-801,196,0.6640625,85,33
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,binding_hours,128,-6.09375,0.44581351754,-6.96754449438,-5.21995550562,-5,-16.65,-6.25,-3,-2,-2,-34,0,0,0,127
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,positive_demand_hours,128,-5.875,2.12956896493,-10.0489551713,-1.70104482874,0,-14.95,-5,0,0,0,-231,0,0,0,59
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,mean_capacity_utilisation,128,-0.135384951496,0.00549756162674,-0.146160172284,-0.124609730707,-0.142895383005,-0.221986034799,-0.171573313744,-0.112572217755,-0.0696093204454,-0.0256442881443,-0.26862026862,0.175283825905,0.0234375,3,125
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,maximum_capacity_utilisation,128,-0.0249399038462,0.00485646527397,-0.0344585757831,-0.0154212319092,0,-0.140384615385,0,0,0,0,-0.269230769231,0,0,0,26
persistent_trough,stage1_only,26 - 14,shared_keeper_capacity_central,shared_keeper_capacity_low,maximum_attempts_one_hour,128,11.3515625,0.126268097123,11.1040770296,11.5990479704,12,8.35,12,12,12,12,5,12,1,128,0
