cell_order,cell_identifier,recovery_path,capacity_profile,capacity,confidence_scenario,metric,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,backlog_area_dai_hours,128,3597876.10359,229735.879399,3147593.77997,4048158.42721,2913777.48608,953190.234396,1871828.97482,4664056.05292,7285847.03999,8220447.03242,207657.263175,17509402.8767,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,maximum_unresolved_tab_dai,128,590368.218201,36841.9101379,518158.074331,662578.362071,492128.713433,75083.4222413,255886.291041,870649.201901,1221538.74142,1398865.45285,48610.1284276,1770834.97455,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,cumulative_realised_bad_debt_dai,128,9.38302170336e-13,3.96020605708e-13,1.62101783149e-13,1.71450255752e-12,1.58206781009e-14,0,0,1.58206781009e-13,5.55305801342e-13,1.87949655839e-12,0,3.24323901069e-11,0.5234375,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,below_peg_burden,128,0.263192585361,0.0047828842023,0.253818132325,0.272567038398,0.262686495149,0.181320123472,0.226688404831,0.305397070585,0.331809655218,0.349755143596,0.150984558752,0.413130215786,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,restricted_mean_recovery_time,128,83.4296875,16.9764545852,50.1558365129,116.703538487,0,0,0,0,443.3,583.3,0,720,0.2265625,2,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,peak_unsafe_share,128,0.27534375,0.00176276410528,0.271888732354,0.278798767646,0.276,0.244,0.262,0.2885,0.3,0.304,0.208,0.312,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,newly_unsafe_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,cumulative_arrival_count,128,583.9921875,48.351360091,489.223521722,678.760853278,359,178.35,229.75,644,1359.2,1754.05,131,2597,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,cumulative_attempts,128,294.4921875,20.8287626104,253.667812784,335.316562216,177.5,129.05,146.75,351.25,602.2,774.75,107,1328,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,cumulative_successful_closures,128,137.5234375,0.884368076734,135.79007607,139.25679893,138,122,131,144.25,150,152,104,156,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,cumulative_capacity_rejected,128,71.7421875,3.75873729658,64.3750623987,79.1093126013,60.5,23.35,43.75,91,121.6,163.85,7,236,1,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,cumulative_unprofitable_attempts,128,156.96875,20.8296395799,116.142656423,197.794843577,41.5,0,6.25,207.5,468.3,638.4,0,1198,0.828125,0,0
1,persistent_trough__capacity_14__stage1_only,persistent_trough,shared_keeper_capacity_low,14,stage1_only,binding_hours,128,7.4765625,0.481825806433,6.53218391939,8.42094108061,6,3,5,8,13,19.65,1,36,1,0,0
