confidence_scenario,interaction_contrast,metric,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,materiality_threshold,materiality_flag,interval_excludes_zero,interpretation
stage1_only,recovery(14) - recovery(45),paired_avoided_debt_dai,1976.00491144,174.049481366,1634.86792796,2317.14189491,1443.33974466,0,468.594508741,2984.62146245,4681.76772187,5510.80199089,0,12065.773012,0.9296875,1000,True,True,capacity-dependent recovery effect
stage1_only,recovery(14) - recovery(45),backlog_area_dai_hours,-72557.0945538,6646.965603,-85585.1471357,-59529.041972,-54158.484064,-180729.889123,-99982.0662718,-19679.9551851,-8780.51912367,-4440.59025016,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
stage1_only,recovery(14) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
stage1_only,recovery(14) - recovery(45),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
stage1_only,recovery(14) - recovery(45),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
stage1_only,recovery(26) - recovery(45),paired_avoided_debt_dai,341.51488184,57.5563003552,228.704533143,454.325230536,0,0,0,522.284749551,1111.21230595,1483.10778004,0,4308.76576705,0.390625,1000,False,True,below registered materiality
stage1_only,recovery(26) - recovery(45),backlog_area_dai_hours,-10109.3192794,1487.56521093,-13024.9470928,-7193.69146598,-395.505685506,-46896.6693536,-16804.9176567,0,0,0,-79175.0295807,10762.5661671,0.03125,10000,True,True,capacity-dependent recovery effect
stage1_only,recovery(26) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
stage1_only,recovery(26) - recovery(45),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
stage1_only,recovery(26) - recovery(45),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
stage1_only,recovery(14) - recovery(26),paired_avoided_debt_dai,1634.4900296,157.568019083,1325.6567122,1943.323347,1137.55573222,0,308.60235133,2297.79919276,4040.20309962,5094.89257952,0,12065.773012,0.921875,1000,True,True,capacity-dependent recovery effect
stage1_only,recovery(14) - recovery(26),backlog_area_dai_hours,-62447.7752744,6145.91436949,-74493.7674386,-50401.7831102,-45888.7909793,-173214.532134,-82480.8139277,-17266.5328472,-8127.16284507,-4439.07060211,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
stage1_only,recovery(14) - recovery(26),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
stage1_only,recovery(14) - recovery(26),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
stage1_only,recovery(14) - recovery(26),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
confidence_resilient,recovery(14) - recovery(45),paired_avoided_debt_dai,1976.00491144,174.049481366,1634.86792796,2317.14189491,1443.33974466,0,468.594508741,2984.62146245,4681.76772187,5510.80199089,0,12065.773012,0.9296875,1000,True,True,capacity-dependent recovery effect
confidence_resilient,recovery(14) - recovery(45),backlog_area_dai_hours,-72557.0945538,6646.965603,-85585.1471357,-59529.041972,-54158.484064,-180729.889123,-99982.0662718,-19679.9551851,-8780.51912367,-4440.59025016,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
confidence_resilient,recovery(14) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_resilient,recovery(14) - recovery(45),below_peg_burden,-3.55100118868,3.72838989292,-10.8586453788,3.75664300144,0,-0.0101137263662,0,0,0,0,-247.00946579,247.029462245,0.03125,0.01,True,False,capacity-dependent recovery effect
confidence_resilient,recovery(14) - recovery(45),restricted_mean_recovery_time,-11.25,11.25,-33.3,10.8,0,0,0,0,0,0,-720,720,0.0078125,24,False,False,below registered materiality
confidence_resilient,recovery(26) - recovery(45),paired_avoided_debt_dai,341.51488184,57.5563003552,228.704533143,454.325230536,0,0,0,522.284749551,1111.21230595,1483.10778004,0,4308.76576705,0.390625,1000,False,True,below registered materiality
confidence_resilient,recovery(26) - recovery(45),backlog_area_dai_hours,-10109.3192794,1487.56521093,-13024.9470928,-7193.69146598,-395.505685506,-46896.6693536,-16804.9176567,0,0,0,-79175.0295807,10762.5661671,0.03125,10000,True,True,capacity-dependent recovery effect
confidence_resilient,recovery(26) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_resilient,recovery(26) - recovery(45),below_peg_burden,1.91481844519,1.91491041601,-1.8384059702,5.66804286058,0,0,0,0,0,0,-0.00666435578441,245.108441139,0.0078125,0.01,True,False,capacity-dependent recovery effect
confidence_resilient,recovery(26) - recovery(45),restricted_mean_recovery_time,5.625,5.625,-5.4,16.65,0,0,0,0,0,0,0,720,0.0078125,24,False,False,below registered materiality
confidence_resilient,recovery(14) - recovery(26),paired_avoided_debt_dai,1634.4900296,157.568019083,1325.6567122,1943.323347,1137.55573222,0,308.60235133,2297.79919276,4040.20309962,5094.89257952,0,12065.773012,0.921875,1000,True,True,capacity-dependent recovery effect
confidence_resilient,recovery(14) - recovery(26),backlog_area_dai_hours,-62447.7752744,6145.91436949,-74493.7674386,-50401.7831102,-45888.7909793,-173214.532134,-82480.8139277,-17266.5328472,-8127.16284507,-4439.07060211,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
confidence_resilient,recovery(14) - recovery(26),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_resilient,recovery(14) - recovery(26),below_peg_burden,-5.46581963387,3.16405738551,-11.6673721095,0.735732841736,0,-0.0101137263662,0,0,0,0,-247.00946579,4.82727901778,0.0390625,0.01,True,False,capacity-dependent recovery effect
confidence_resilient,recovery(14) - recovery(26),restricted_mean_recovery_time,-16.875,9.66576651502,-35.8199023694,2.06990236943,0,0,0,0,0,0,-720,0,0,24,False,False,below registered materiality
confidence_central,recovery(14) - recovery(45),paired_avoided_debt_dai,1976.00491144,174.049481366,1634.86792796,2317.14189491,1443.33974466,0,468.594508741,2984.62146245,4681.76772187,5510.80199089,0,12065.773012,0.9296875,1000,True,True,capacity-dependent recovery effect
confidence_central,recovery(14) - recovery(45),backlog_area_dai_hours,-72557.0945538,6646.965603,-85585.1471357,-59529.041972,-54158.484064,-180729.889123,-99982.0662718,-19679.9551851,-8780.51912367,-4440.59025016,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
confidence_central,recovery(14) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_central,recovery(14) - recovery(45),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
confidence_central,recovery(14) - recovery(45),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
confidence_central,recovery(26) - recovery(45),paired_avoided_debt_dai,341.51488184,57.5563003552,228.704533143,454.325230536,0,0,0,522.284749551,1111.21230595,1483.10778004,0,4308.76576705,0.390625,1000,False,True,below registered materiality
confidence_central,recovery(26) - recovery(45),backlog_area_dai_hours,-10109.3192794,1487.56521093,-13024.9470928,-7193.69146598,-395.505685506,-46896.6693536,-16804.9176567,0,0,0,-79175.0295807,10762.5661671,0.03125,10000,True,True,capacity-dependent recovery effect
confidence_central,recovery(26) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_central,recovery(26) - recovery(45),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
confidence_central,recovery(26) - recovery(45),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
confidence_central,recovery(14) - recovery(26),paired_avoided_debt_dai,1634.4900296,157.568019083,1325.6567122,1943.323347,1137.55573222,0,308.60235133,2297.79919276,4040.20309962,5094.89257952,0,12065.773012,0.921875,1000,True,True,capacity-dependent recovery effect
confidence_central,recovery(14) - recovery(26),backlog_area_dai_hours,-62447.7752744,6145.91436949,-74493.7674386,-50401.7831102,-45888.7909793,-173214.532134,-82480.8139277,-17266.5328472,-8127.16284507,-4439.07060211,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
confidence_central,recovery(14) - recovery(26),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_central,recovery(14) - recovery(26),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
confidence_central,recovery(14) - recovery(26),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
confidence_fragile,recovery(14) - recovery(45),paired_avoided_debt_dai,1976.00491144,174.049481366,1634.86792796,2317.14189491,1443.33974466,0,468.594508741,2984.62146245,4681.76772187,5510.80199089,0,12065.773012,0.9296875,1000,True,True,capacity-dependent recovery effect
confidence_fragile,recovery(14) - recovery(45),backlog_area_dai_hours,-72557.0945538,6646.965603,-85585.1471357,-59529.041972,-54158.484064,-180729.889123,-99982.0662718,-19679.9551851,-8780.51912367,-4440.59025016,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
confidence_fragile,recovery(14) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_fragile,recovery(14) - recovery(45),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
confidence_fragile,recovery(14) - recovery(45),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
confidence_fragile,recovery(26) - recovery(45),paired_avoided_debt_dai,341.51488184,57.5563003552,228.704533143,454.325230536,0,0,0,522.284749551,1111.21230595,1483.10778004,0,4308.76576705,0.390625,1000,False,True,below registered materiality
confidence_fragile,recovery(26) - recovery(45),backlog_area_dai_hours,-10109.3192794,1487.56521093,-13024.9470928,-7193.69146598,-395.505685506,-46896.6693536,-16804.9176567,0,0,0,-79175.0295807,10762.5661671,0.03125,10000,True,True,capacity-dependent recovery effect
confidence_fragile,recovery(26) - recovery(45),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_fragile,recovery(26) - recovery(45),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
confidence_fragile,recovery(26) - recovery(45),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
confidence_fragile,recovery(14) - recovery(26),paired_avoided_debt_dai,1634.4900296,157.568019083,1325.6567122,1943.323347,1137.55573222,0,308.60235133,2297.79919276,4040.20309962,5094.89257952,0,12065.773012,0.921875,1000,True,True,capacity-dependent recovery effect
confidence_fragile,recovery(14) - recovery(26),backlog_area_dai_hours,-62447.7752744,6145.91436949,-74493.7674386,-50401.7831102,-45888.7909793,-173214.532134,-82480.8139277,-17266.5328472,-8127.16284507,-4439.07060211,-520060.775041,199.247791625,0.0078125,10000,True,True,capacity-dependent recovery effect
confidence_fragile,recovery(14) - recovery(26),maximum_unresolved_tab_dai,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,False,False,below registered materiality
confidence_fragile,recovery(14) - recovery(26),below_peg_burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,False,False,below registered materiality
confidence_fragile,recovery(14) - recovery(26),restricted_mean_recovery_time,0,0,0,0,0,0,0,0,0,0,0,0,0,24,False,False,below registered materiality
