order,cell_identifier,recovery_path,path_checksum,capacity_profile,capacity,capacity_semantics,hurdle_profile,confidence_scenario,scenario_checksum,integrated_profile_checksum,replication_count,row_checksum
1,persistent_trough__capacity_14__stage1_only,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_low,14,system_wide_shared_capacity,direct_cost_only,stage1_only,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,9154f1cfa8949da04747bc64424827bda6e0309268bfb827fa9f8f4c54aef090
2,persistent_trough__capacity_14__confidence_resilient,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_low,14,system_wide_shared_capacity,direct_cost_only,confidence_resilient,bab43e8173119ce5afe83a88f06017adecf59343368e37f65aa6a0d8194d2db3,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,cf8c571bb0bdd9ef28bd3dccd3eae999f76216b5c8e01822347a1463920616b9
3,persistent_trough__capacity_14__confidence_central,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_low,14,system_wide_shared_capacity,direct_cost_only,confidence_central,83040e17842cf701b9b5d09b1c438bfc5d23a78c403a3efc75d7f199d9b744b6,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,6f4460b6fe0c6730cd5b308a897ecc83a5ad1ec0b592894011ee34b1ef3ed7b8
4,persistent_trough__capacity_14__confidence_fragile,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_low,14,system_wide_shared_capacity,direct_cost_only,confidence_fragile,4cd7b342d7d09e9dde3e017a755355e20aaf91affe0c0c8b3c9868a341f627ff,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,2c7286ac2ef9a1cc2fd0c806cf7d616ac14a11753cbfacaa928277599fb4c2b7
5,persistent_trough__capacity_26__stage1_only,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_central,26,system_wide_shared_capacity,direct_cost_only,stage1_only,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,d2b9b197221bddce2fd10a69a3236c781084c41b71cb12892b56b09db0220cad
6,persistent_trough__capacity_26__confidence_resilient,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_central,26,system_wide_shared_capacity,direct_cost_only,confidence_resilient,bab43e8173119ce5afe83a88f06017adecf59343368e37f65aa6a0d8194d2db3,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,176a5df5d123a3f5a5cc8f8d428ce16732de3127b3408e7795b88e9428a97f69
7,persistent_trough__capacity_26__confidence_central,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_central,26,system_wide_shared_capacity,direct_cost_only,confidence_central,83040e17842cf701b9b5d09b1c438bfc5d23a78c403a3efc75d7f199d9b744b6,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,b1f4522eb98f9683bfcde1986a9420db0e82dcf463eb9570b8331e122dd63af7
8,persistent_trough__capacity_26__confidence_fragile,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_central,26,system_wide_shared_capacity,direct_cost_only,confidence_fragile,4cd7b342d7d09e9dde3e017a755355e20aaf91affe0c0c8b3c9868a341f627ff,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,3b0b64251db368119072534a2e0ee60a3af33be7f5cacbd452533ce4d1b75c0a
9,persistent_trough__capacity_45__stage1_only,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_high,45,system_wide_shared_capacity,direct_cost_only,stage1_only,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,3480929eb2b879a2e626b1f6379fd105b4c627c716fb25d5a85b062ca7a61905
10,persistent_trough__capacity_45__confidence_resilient,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_high,45,system_wide_shared_capacity,direct_cost_only,confidence_resilient,bab43e8173119ce5afe83a88f06017adecf59343368e37f65aa6a0d8194d2db3,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,2aa1db28d0a025f2e14166a04d3133ca1b30074c76c1364503aab14dc9659e5f
11,persistent_trough__capacity_45__confidence_central,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_high,45,system_wide_shared_capacity,direct_cost_only,confidence_central,83040e17842cf701b9b5d09b1c438bfc5d23a78c403a3efc75d7f199d9b744b6,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,393369141c647f0f6b9f8f1979116086284b297d825769c5247e345781848a0a
12,persistent_trough__capacity_45__confidence_fragile,persistent_trough,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,shared_keeper_capacity_high,45,system_wide_shared_capacity,direct_cost_only,confidence_fragile,4cd7b342d7d09e9dde3e017a755355e20aaf91affe0c0c8b3c9868a341f627ff,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,18ccf20df8fbeadaa3d08c240818827dcab17152cfa34a31a68b4731143995fb
13,full_week__capacity_14__stage1_only,full_week,f175c9111380499b2b7d71d32a4ac6f42cc3f8bc3d196c7fded95cb87a2c4d3b,shared_keeper_capacity_low,14,system_wide_shared_capacity,direct_cost_only,stage1_only,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,ea0e08f263210af3c3041843537f975ebd886fcf5130c617b0edb189218b3862,128,8bc6ebe3fd91098163b779dee3436c3b05be1f5be9fcecfcd27aa242ef72fd9d
