record_type,recovery_path,capacity_profile,capacity,confidence_scenario,metric,replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
within_cell,persistent_trough,shared_keeper_capacity_low,14,stage1_only,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_low,14,stage1_only,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,stage1_only,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,stage1_only,unresolved_open_vaults,128,0.1484375,0.0744813462137,0.0024540614211,0.294420938579,0,0,0,0,0,0,0,6,0.03125
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_resilient,unresolved_open_vaults,128,0.1484375,0.0744813462137,0.0024540614211,0.294420938579,0,0,0,0,0,0,0,6,0.03125
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_central,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_central,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_central,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_central,unresolved_open_vaults,128,0.1484375,0.0744813462137,0.0024540614211,0.294420938579,0,0,0,0,0,0,0,6,0.03125
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_fragile,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_fragile,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_fragile,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_low,14,confidence_fragile,unresolved_open_vaults,128,0.1484375,0.0744813462137,0.0024540614211,0.294420938579,0,0,0,0,0,0,0,6,0.03125
within_cell,persistent_trough,shared_keeper_capacity_central,26,stage1_only,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_central,26,stage1_only,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,stage1_only,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,stage1_only,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_resilient,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_resilient,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_resilient,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_resilient,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_central,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_central,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_central,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_central,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_fragile,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_fragile,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_fragile,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_central,26,confidence_fragile,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,persistent_trough,shared_keeper_capacity_high,45,stage1_only,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_high,45,stage1_only,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,stage1_only,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,stage1_only,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_resilient,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_resilient,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_resilient,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_resilient,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_central,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_central,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_central,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_central,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_fragile,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_fragile,recovered_before_execution,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_fragile,recovered_before_closure,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,persistent_trough,shared_keeper_capacity_high,45,confidence_fragile,unresolved_open_vaults,128,0.109375,0.0639443107475,-0.015955849065,0.234705849065,0,0,0,0,0,0,0,6,0.0234375
within_cell,full_week,shared_keeper_capacity_low,14,stage1_only,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_low,14,stage1_only,recovered_before_execution,128,27.6484375,0.902587449942,25.8793660981,29.4175089019,28,10.35,20.75,34,39.6,44,7,62,1
within_cell,full_week,shared_keeper_capacity_low,14,stage1_only,recovered_before_closure,128,32.0859375,1.06586875308,29.996834744,34.175040256,32,13,23,41,48,51,8,62,1
within_cell,full_week,shared_keeper_capacity_low,14,stage1_only,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_low,14,confidence_resilient,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_resilient,recovered_before_execution,128,27.6484375,0.902587449942,25.8793660981,29.4175089019,28,10.35,20.75,34,39.6,44,7,62,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_resilient,recovered_before_closure,128,32.0859375,1.06586875308,29.996834744,34.175040256,32,13,23,41,48,51,8,62,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_resilient,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_low,14,confidence_central,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_central,recovered_before_execution,128,27.6484375,0.902587449942,25.8793660981,29.4175089019,28,10.35,20.75,34,39.6,44,7,62,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_central,recovered_before_closure,128,32.0859375,1.06586875308,29.996834744,34.175040256,32,13,23,41,48,51,8,62,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_central,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_low,14,confidence_fragile,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_fragile,recovered_before_execution,128,27.6484375,0.902587449942,25.8793660981,29.4175089019,28,10.35,20.75,34,39.6,44,7,62,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_fragile,recovered_before_closure,128,32.0859375,1.06586875308,29.996834744,34.175040256,32,13,23,41,48,51,8,62,1
within_cell,full_week,shared_keeper_capacity_low,14,confidence_fragile,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_central,26,stage1_only,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_central,26,stage1_only,recovered_before_execution,128,20.328125,0.930013372964,18.505298789,22.150951211,20,4.35,12,27.25,33,38.3,1,55,1
within_cell,full_week,shared_keeper_capacity_central,26,stage1_only,recovered_before_closure,128,26.1171875,1.15546145668,23.8524830449,28.3818919551,24.5,6.35,16,34.25,45,48,1,56,1
within_cell,full_week,shared_keeper_capacity_central,26,stage1_only,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_central,26,confidence_resilient,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
within_cell,full_week,shared_keeper_capacity_central,26,confidence_resilient,recovered_before_execution,128,20.328125,0.930013372964,18.505298789,22.150951211,20,4.35,12,27.25,33,38.3,1,55,1
within_cell,full_week,shared_keeper_capacity_central,26,confidence_resilient,recovered_before_closure,128,26.1171875,1.15546145668,23.8524830449,28.3818919551,24.5,6.35,16,34.25,45,48,1,56,1
within_cell,full_week,shared_keeper_capacity_central,26,confidence_resilient,unresolved_open_vaults,128,0,0,0,0,0,0,0,0,0,0,0,0,0
within_cell,full_week,shared_keeper_capacity_central,26,confidence_central,unsafe_vault_count,128,137.671875,0.881382052638,135.944366177,139.399383823,138,122,131,144.25,150,152,104,156,1
