cell_order,cell_identifier,shock,portfolio,family,metric,applicable_replication_count,not_applicable_replication_count,invalid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,initial_debt_exposure,128,0,0,2500000,2.55659143206e-11,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,1
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,unsafe_vault_count,128,0,0,26.9921875,2.46923730847,22.1524823754,31.8318926246,16.5,0,5,40.25,63.6,89,0,128,0.9296875
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,liquidation_arrivals,128,0,0,52.4296875,6.09026875217,40.4927607457,64.3666142543,31.5,0,5,67.75,130.1,175.15,0,382,0.8984375
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,selected_attempts,128,0,0,51.953125,6.03004554163,40.1342357384,63.7720142616,31.5,0,5,66.25,130.1,175.15,0,382,0.8984375
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,capacity_rejections,128,0,0,0.4765625,0.196538964172,0.0913461302232,0.861778869777,0,0,0,0,0,1.65,0,14,0.078125
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,successful_closures,128,0,0,23.2265625,2.18619097064,18.9416281975,27.5114968025,15,0,3.75,34.25,51.3,76.2,0,124,0.8984375
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,liquidated_debt,128,0,0,194744.37645,24423.8960389,146873.540214,242615.212686,57924.6570605,0,3270.74777294,355315.773351,558282.087557,767606.737446,0,1418890.86042,0.8984375
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,backlog_area,128,0,0,479942.641871,71327.987279,340139.786804,619745.496938,107575.031554,0,6799.74536932,557867.061823,1464414.24025,2210283.31661,0,4049012.4834,0.890625
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,realised_bad_debt,128,0,0,7.93813528275e-15,3.25778069261e-15,1.55288512524e-15,1.43233854403e-14,0,0,0,0,0,4.3804453533e-14,0,3.46099259156e-13,0.0859375
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,keeper_profit_proxy,128,0,0,24509.0891815,3123.45377433,18387.1197839,30631.0585792,6421.27229029,0,273.470148901,44325.9504107,70856.2541241,98298.4204473,0,183030.435486,0.8984375
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,exposure_normalised_liquidated_debt,128,0,0,0.07789775058,0.00976955841558,0.0587494160855,0.0970460850746,0.0231698628242,0,0.00130829910917,0.14212630934,0.223312835023,0.307042694978,0,0.567556344168,0.8984375
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,ETH,exposure_normalised_backlog,128,0,0,0.191977056748,0.0285311949116,0.136055914722,0.247898198775,0.0430300126215,0,0.00271989814773,0.223146824729,0.585765696099,0.884113326643,0,1.61960499336,0.890625
