contrast_type,shock,portfolio,left_portfolio,right_portfolio,contrast,metric,direction_multiplier,operationality,reversal_flag,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,paired_probability_difference,discordant_left_one_right_zero,discordant_left_zero_right_one,empirical_discordant_left_one_right_zero,empirical_discordant_left_zero_right_one,high_correlation_discordant_left_one_right_zero,high_correlation_discordant_left_zero_right_one
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,realised_bad_debt_share,1,degenerate,,128,-1.8998146777e-21,1.29815741743e-21,-4.44420321586e-21,6.44573860461e-22,0,-1.7355340175e-20,0,0,0,0,-1.21103593167e-19,6.37268573157e-20,0.03125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,positive_realised_bad_debt,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,active_bad_debt_share,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,unresolved_tab_share,1,operational,,128,-0.0148107323356,0.00494827755995,-0.0245093563531,-0.00511210831806,-0.00110641862908,-0.135701564112,-0.0107952425327,0,0.00394947515852,0.0391702927607,-0.259833889105,0.128555036968,0.21875,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,backlog_area_share,1,operational,,128,-0.0717989390479,0.0188218169118,-0.108689700195,-0.0349081779009,-0.00274498984594,-0.566187593382,-0.0502383220286,0,0.0418638353199,0.0718139839309,-1.20210044782,0.350289916523,0.234375,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,liquidated_debt_share,1,operational,,128,-0.0222804597828,0.00559072685446,-0.0332382844175,-0.0113226351481,-0.00250103321407,-0.144792816043,-0.0242916833547,0,0.00241603498229,0.0322814165297,-0.324446108148,0.146289215436,0.1875,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,debt_weighted_liquidated_vault_share,1,operational,,128,-0.0222804597828,0.00559072685446,-0.0332382844175,-0.0113226351481,-0.00250103321407,-0.144792816043,-0.0242916833547,0,0.00241603498229,0.0322814165297,-0.324446108148,0.146289215436,0.1875,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,successful_closure_count,1,operational,,128,-6.6015625,0.975041630682,-8.51264409614,-4.69048090386,-3.5,-26.65,-10,0,1.3,4,-69,12,0.1328125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,capacity_rejected_opportunities,1,operational,,128,-0.28125,0.130742833395,-0.537505953455,-0.0249940465451,0,-0.65,0,0,0,0,-11,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,below_peg_burden,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,mean_absolute_peg_deviation,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,minimum_dai_price,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,restricted_mean_recovery_time,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,empirical_crypto,empirical_crypto,eth_only,empirical_crypto - eth_only,recovery_probability_720h,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,realised_bad_debt_share,1,degenerate,,128,-3.1752541131e-21,1.30311227704e-21,-5.72935417611e-21,-6.21154050094e-22,0,-1.75217814132e-20,0,0,0,0,-1.38439703663e-19,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,positive_realised_bad_debt,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,active_bad_debt_share,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,unresolved_tab_share,1,operational,,128,-0.0421074512217,0.006568490978,-0.0549816935386,-0.0292332089048,-0.00598465522901,-0.19882336285,-0.047691393154,-0.000547226257688,0,0.00128378935082,-0.439646247322,0.0111536525489,0.0703125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,backlog_area_share,1,operational,,128,-0.151999693826,0.0252189415864,-0.201428819335,-0.102570568316,-0.0254562222171,-0.841117428345,-0.143095267627,-0.00124861255063,0,0.000776935529979,-1.29546015995,0.194262511288,0.0703125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,liquidated_debt_share,1,operational,,128,-0.0629872074332,0.0084585826536,-0.0795660294343,-0.0464083854321,-0.011097746411,-0.260245829565,-0.109580042104,-0.000963976611856,0,0.000484898700307,-0.479046795472,0.0202525680751,0.078125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,debt_weighted_liquidated_vault_share,1,operational,,128,-0.0629872074332,0.0084585826536,-0.0795660294343,-0.0464083854321,-0.011097746411,-0.260245829565,-0.109580042104,-0.000963976611856,0,0.000484898700307,-0.479046795472,0.0202525680751,0.078125,,,,,,,
