cell_order,cell_identifier,shock,portfolio,family,metric,applicable_replication_count,not_applicable_replication_count,invalid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,initial_debt_exposure,128,0,0,2500000,2.45001952833e-11,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,1
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,unsafe_vault_count,128,0,0,15.21875,2.32851676868,10.6548571334,19.7826428666,3,0,0,17.25,38.8,72.95,0,140,0.6484375
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,liquidation_arrivals,128,0,0,27.625,5.62053628666,16.6087488782,38.6412511218,3,0,0,22.25,70.6,167.25,0,454,0.6328125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,selected_attempts,128,0,0,27.4609375,5.57018239224,16.5433800112,38.3784949888,3,0,0,22.25,70.6,167.25,0,454,0.6328125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,capacity_rejections,128,0,0,0.1640625,0.14913519724,-0.128242486591,0.456367486591,0,0,0,0,0,0,0,19,0.015625
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,successful_closures,128,0,0,13.59375,2.12072397187,9.43713101514,17.7503689849,2,0,0,16,35.8,68.2,0,119,0.6328125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,liquidated_debt,128,0,0,78903.6633267,14458.2341915,50565.5243114,107241.802342,2501.72337378,0,0,52666.6388157,289908.643252,445503.784279,0,811588.977103,0.6328125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,backlog_area,128,0,0,129972.054126,25105.5103343,80765.2538704,179178.854381,3871.6082554,0,0,103267.892557,431155.783241,725533.070923,0,1539105.18534,0.640625
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,realised_bad_debt,128,0,0,1.40859845934e-16,1.40859845934e-16,-1.35225452097e-16,4.16945143965e-16,0,0,0,0,0,0,0,1.80300602796e-14,0.0078125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,keeper_profit_proxy,128,0,0,9992.84905574,1854.08489244,6358.84266656,13626.8554449,253.122431374,0,0,6619.62769278,37049.8898326,57691.7490225,0,104381.191859,0.6328125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,exposure_normalised_liquidated_debt,128,0,0,0.0315614653307,0.00578329367659,0.0202262097246,0.0428967209368,0.00100068934951,0,0,0.0210666555263,0.115963457301,0.178201513712,0,0.324635590841,0.6328125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,exposure_normalised_backlog,128,0,0,0.0519888216502,0.0100422041337,0.0323061015481,0.0716715417523,0.00154864330216,0,0,0.041307157023,0.172462313296,0.290213228369,0,0.615642074138,0.640625
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,exposure_normalised_bad_debt,128,0,0,5.63439383736e-23,5.63439383736e-23,-5.40901808387e-23,1.66778057586e-22,0,0,0,0,0,0,0,7.21202411183e-21,0.0078125
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,contribution_to_system_backlog,82,46,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,contribution_to_system_bad_debt,1,127,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,ETH,displaced_candidates,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,initial_debt_exposure,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,unsafe_vault_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,liquidation_arrivals,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,selected_attempts,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,capacity_rejections,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,successful_closures,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,liquidated_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,backlog_area,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,keeper_profit_proxy,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,exposure_normalised_liquidated_debt,0,128,0,,,,,,,,,,,,,
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,exposure_normalised_backlog,0,128,0,,,,,,,,,,,,,
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,exposure_normalised_bad_debt,0,128,0,,,,,,,,,,,,,
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,contribution_to_system_backlog,82,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,contribution_to_system_bad_debt,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,STABLE,displaced_candidates,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,initial_debt_exposure,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,unsafe_vault_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,liquidation_arrivals,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,selected_attempts,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,capacity_rejections,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,successful_closures,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,liquidated_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,backlog_area,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,keeper_profit_proxy,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,exposure_normalised_liquidated_debt,0,128,0,,,,,,,,,,,,,
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,exposure_normalised_backlog,0,128,0,,,,,,,,,,,,,
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,exposure_normalised_bad_debt,0,128,0,,,,,,,,,,,,,
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,contribution_to_system_backlog,82,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,contribution_to_system_bad_debt,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,eth_idiosyncratic_severe__eth_only,eth_idiosyncratic_severe,eth_only,WBTC,displaced_candidates,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,initial_debt_exposure,128,0,0,2120985.2817,4.51761279254e-11,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,1
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,unsafe_vault_count,128,0,0,10.3203125,1.73867729027,6.91250501107,13.7281199889,2,0,0,12,28.3,47.55,0,119,0.59375
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,liquidation_arrivals,128,0,0,16.6171875,3.61276310062,9.53617182279,23.6982031772,2,0,0,15,33,103,0,262,0.5859375
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,selected_attempts,128,0,0,16.4765625,3.5728664419,9.47374427387,23.4793807261,2,0,0,15,33,103,0,262,0.5859375
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,capacity_rejections,128,0,0,0.140625,0.140625,-0.135,0.41625,0,0,0,0,0,0,0,18,0.0078125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,successful_closures,128,0,0,9.234375,1.57452984699,6.14829649991,12.3204535001,1,0,0,12,27,41.1,0,101,0.578125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,liquidated_debt,128,0,0,66591.701221,13803.0369562,39537.7487867,93645.6536552,1276.68113684,0,0,22563.1781302,247402.058151,513745.36104,0,699188.326677,0.578125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,backlog_area,128,0,0,103894.098023,26176.8559645,52587.4603325,155200.735713,1400.94633152,0,0,41351.8750538,279132.81705,566478.586037,0,1966299.24272,0.53125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,keeper_profit_proxy,128,0,0,8473.99204029,1777.4935316,4990.10471835,11957.8793622,146.160341787,0,0,2848.61864627,31260.1745966,66289.2194666,0,89989.7386325,0.578125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,exposure_normalised_liquidated_debt,128,0,0,0.0313965880836,0.00650784193334,0.0186412178943,0.044151958273,0.000601928333899,0,0,0.0106380644528,0.116644872685,0.242220144323,0,0.329652606602,0.578125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,exposure_normalised_backlog,128,0,0,0.0489838844801,0.012341837631,0.0247938827234,0.0731738862369,0.000660516762474,0,0,0.0194965403158,0.131605258866,0.267082752023,0,0.927068782458,0.53125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,exposure_normalised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,contribution_to_system_backlog,69,59,0,0.91787088755,0.0234200784887,0.871967533712,0.963774241388,1,0.52929058414,0.934686939023,1,1,1,0,1,0.985507246377
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,contribution_to_system_bad_debt,0,128,0,,,,,,,,,,,,,
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,ETH,displaced_candidates,128,0,0,0.0078125,0.0078125,-0.0075,0.023125,0,0,0,0,0,0,0,1,0.0078125
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,initial_debt_exposure,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,unsafe_vault_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,liquidation_arrivals,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,selected_attempts,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,capacity_rejections,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,successful_closures,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,liquidated_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,backlog_area,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,STABLE,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
