shock,left_portfolio,right_portfolio,contrast,metric,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_left_one_right_zero,discordant_left_zero_right_one
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,realised_bad_debt_share,128,-5.63439383736e-23,5.63439383736e-23,-1.66778057586e-22,5.40901808387e-23,0,0,0,0,0,0,-7.21202411183e-21,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,unresolved_tab_share,128,-6.18540521096e-07,5.61682215556e-07,-1.71943766359e-06,4.82356621393e-07,0,0,0,0,0,0,-7.15500905591e-05,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,backlog_area_share,128,-0.00648639132418,0.00830595288474,-0.0227660589783,0.0097932763299,0,-0.10244021625,-0.00625714613278,0,0.00563639071728,0.0727045683851,-0.339587440352,0.684070443385,0.2265625,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,liquidated_debt_share,128,-0.00221703087158,0.00305303778401,-0.00820098492824,0.00376692318509,0,-0.046966724959,-0.00416106939561,0,0.00276111792463,0.00930603719954,-0.0979561564658,0.230144475815,0.21875,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,debt_weighted_liquidated_vault_share,128,-0.00221703087158,0.00305303778401,-0.00820098492824,0.00376692318509,0,-0.046966724959,-0.00416106939561,0,0.00276111792463,0.00930603719954,-0.0979561564658,0.230144475815,0.21875,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,successful_closure_count,128,-3.390625,0.64057698591,-4.64615589238,-2.13509410762,0,-13,-6,0,1,2,-49,12,0.1171875,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,capacity_rejected_opportunities,128,-0.0234375,0.0174141727947,-0.0575692786776,0.0106942786776,0,0,0,0,0,0,-2,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,empirical_crypto,eth_only,empirical_crypto - eth_only,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,realised_bad_debt_share,128,-5.63439383736e-23,5.63439383736e-23,-1.66778057586e-22,5.40901808387e-23,0,0,0,0,0,0,-7.21202411183e-21,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,unresolved_tab_share,128,-1.50466233497e-06,1.44586495012e-06,-4.3385576372e-06,1.32923296727e-06,0,0,0,0,0,0,-0.000184973682734,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,backlog_area_share,128,-0.0270711558618,0.0107682468085,-0.0481769196065,-0.00596539211708,-0.000844786304152,-0.255017100549,-0.0179061302608,0,1.60524202427e-05,0.00384361661993,-0.613556943275,0.65673757338,0.1015625,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,liquidated_debt_share,128,-0.0195609497842,0.00429609160926,-0.0279812893384,-0.0111406102301,-0.000425166596174,-0.136726727392,-0.0152949241438,0,0,0.00267159371188,-0.227317947801,0.157980466209,0.09375,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,debt_weighted_liquidated_vault_share,128,-0.0195609497842,0.00429609160926,-0.0279812893384,-0.0111406102301,-0.000425166596174,-0.136726727392,-0.0152949241438,0,0,0.00267159371188,-0.227317947801,0.157980466209,0.09375,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,successful_closure_count,128,-7.9921875,1.24128339244,-10.4251029492,-5.55927205081,-1,-38,-12,0,0,1.65,-76,12,0.078125,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,capacity_rejected_opportunities,128,-0.1640625,0.14913519724,-0.456367486591,0.128242486591,0,0,0,0,0,0,-19,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,eth_only,balanced_crypto - eth_only,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,realised_bad_debt_share,128,-5.63439383736e-23,5.63439383736e-23,-1.66778057586e-22,5.40901808387e-23,0,0,0,0,0,0,-7.21202411183e-21,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
