contrast_order,contrast_type,anchor,family,metric,left_delay,right_delay,contrast_label,direction_multiplier,operationality,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,classification
1,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_absolute_mismatch_area,0,1,delay_1_minus_0,1,operational,128,2.935390425582396,0.05077919169919717,2.8358632098519694,3.0349176413128225,2.8318588572756447,2.155702404758233,2.538841227352546,3.285893865512409,3.7510902786352407,4.035505403126797,1.0,128,0,
2,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_absolute_mismatch_area,0,1,delay_1_minus_0,1,operational,128,2.935390425582396,0.05077919169919717,2.8358632098519694,3.0349176413128225,2.8318588572756447,2.155702404758233,2.538841227352546,3.285893865512409,3.7510902786352407,4.035505403126797,1.0,128,0,
3,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_absolute_mismatch_area,1,2,delay_2_minus_1,1,operational,128,1.8095705437632064,0.02930589268565173,1.752130994099329,1.8670100934270837,1.773631645702816,1.3807643348462841,1.567567609317342,1.9938477695311714,2.2514179761346007,2.3975448752849173,1.0,128,0,
4,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_absolute_mismatch_area,1,2,delay_2_minus_1,1,operational,128,1.8095705437632064,0.02930589268565173,1.752130994099329,1.8670100934270837,1.773631645702816,1.3807643348462841,1.567567609317342,1.9938477695311714,2.2514179761346007,2.3975448752849173,1.0,128,0,
5,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_absolute_mismatch_area,0,2,delay_2_minus_0,1,operational,128,4.744960969345602,0.07926100796547227,4.5896093937332765,4.900312544957927,4.6338552231111105,3.550260599133446,4.13492427942681,5.333701988272658,6.109193490493179,6.408088144970203,1.0,128,0,
6,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_absolute_mismatch_area,0,2,delay_2_minus_0,1,operational,128,4.744960969345602,0.07926100796547227,4.5896093937332765,4.900312544957927,4.6338552231111105,3.550260599133446,4.13492427942681,5.333701988272658,6.109193490493179,6.408088144970203,1.0,128,0,
7,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_absolute_mismatch_area,0,2,delay_2_minus_0,1,operational,128,4.744960969345602,0.07926100796547227,4.5896093937332765,4.900312544957927,4.6338552231111105,3.550260599133446,4.13492427942681,5.333701988272658,6.109193490493179,6.408088144970203,1.0,128,0,monotonic_deterioration
8,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_overvaluation_area,0,1,delay_1_minus_0,1,operational,128,1.4503626042196403,0.02696954186606037,1.397502302162162,1.5032229062771185,1.4171725797291614,1.0391219641913065,1.208204789248486,1.6356665282115714,1.8650708675002612,2.0318109794681907,1.0,128,0,
9,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_overvaluation_area,0,1,delay_1_minus_0,1,operational,128,1.4503626042196403,0.02696954186606037,1.397502302162162,1.5032229062771185,1.4171725797291614,1.0391219641913065,1.208204789248486,1.6356665282115714,1.8650708675002612,2.0318109794681907,1.0,128,0,
10,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_overvaluation_area,1,2,delay_2_minus_1,1,operational,128,0.8876805763806885,0.017048591496673437,0.8542653370472086,0.9210958157141684,0.8816650394551104,0.6324935026204418,0.7407267165617116,0.9819017695542179,1.1164692082859302,1.2273267853334129,1.0,128,0,
11,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_overvaluation_area,1,2,delay_2_minus_1,1,operational,128,0.8876805763806885,0.017048591496673437,0.8542653370472086,0.9210958157141684,0.8816650394551104,0.6324935026204418,0.7407267165617116,0.9819017695542179,1.1164692082859302,1.2273267853334129,1.0,128,0,
12,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_overvaluation_area,0,2,delay_2_minus_0,1,operational,128,2.338043180600329,0.04345012615616852,2.2528809333342386,2.423205427866419,2.3051659018625235,1.6837565283752098,1.9519684167736282,2.6256889364307794,3.01986922873066,3.200726332491699,1.0,128,0,
13,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_overvaluation_area,0,2,delay_2_minus_0,1,operational,128,2.338043180600329,0.04345012615616852,2.2528809333342386,2.423205427866419,2.3051659018625235,1.6837565283752098,1.9519684167736282,2.6256889364307794,3.01986922873066,3.200726332491699,1.0,128,0,
14,response_shape_classification,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_overvaluation_area,0,2,delay_2_minus_0,1,operational,128,2.338043180600329,0.04345012615616852,2.2528809333342386,2.423205427866419,2.3051659018625235,1.6837565283752098,1.9519684167736282,2.6256889364307794,3.01986922873066,3.200726332491699,1.0,128,0,monotonic_deterioration
15,raw_delay_contrast,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_undervaluation_area,0,1,delay_1_minus_0,1,operational,128,1.4850278213627552,0.026364618992747096,1.433353168136971,1.5367024745885396,1.4476562712402707,1.0588500936942944,1.277177587620919,1.700726810745029,1.8942226337375476,2.0127692012882443,1.0,128,0,
16,direction_normalised_deterioration,empirical_crypto__joint_crypto_high_correlation,,debt_weighted_undervaluation_area,0,1,delay_1_minus_0,1,operational,128,1.4850278213627552,0.026364618992747096,1.433353168136971,1.5367024745885396,1.4476562712402707,1.0588500936942944,1.277177587620919,1.700726810745029,1.8942226337375476,2.0127692012882443,1.0,128,0,
