source_order,source_identifier,source_type,path,experiment_or_calibration_identity,specification_checksum,decision_checksum,reproducibility_checksum,supporting_checksums,registered_classification,evidence_status,design_population,treatment_dimensions,simulation_count,peg_effects_operational,backlog_operational,bad_debt_operational,confidence_status,principal_limitation,inclusion_decision
1,final_programme,programme_boundary,data/provenance/experiments/final_programme/final_programme_decision.json,084dd8495ec29717a94cc2d6d5427a78f377d82989abf2d119547fb1db376260,a16302160fc1124d0e61a9157bb596cf80b376d0a07dfd9800c985fb87f84419,96938611e4ca5fbe169fdcd4c1c9e2b49482a10851edba1a3f319c34d0cfa1c6,f2044e38a55cdd59e6e010d80c9360492d4d343e589311d64422154e0516dc34,,pre_registered_final_programme,included_boundary_only,five core experiments,43 frozen cells; H1-H4,5504,varies_by_experiment,varies_by_experiment,varies_by_experiment,stage1_only_default,The historical programme decision predates execution completion; individual frozen decisions own results.,included
2,confidence_partial_identification,calibration_closure,data/provenance/calibration/confidence/partial_identification_set.json,39d01a3dfa07053dbe31c8189d88ab5f5fdfaa8003d3ddb28606179fd8413e6d,347e47bc4c36bf7804320f823abf728096256fab1bc2706fefd0f2a66552f82c,a42ae42f3cb55ac215e3d76d373d8be1c4f45656f32669d69a5e98bfa075e7ae,3a8533aecc0bb5eb67aca1c00607d58e4f603902a767925b1983917badb452da,,model_evidence_incompatibility,included,74 historical stress events,256 bounded candidate vectors,,operational_for_calibration,operational_for_calibration,diagnostic_only,no_admissible_vector,Finite candidate grid; not an asymptotic confidence region.,included
3,confidence_structural_factorial,calibration_closure,data/provenance/calibration/confidence/structural_factorial_decision.json,4558b97de3c092b8cec70b9117407333527f517559b7126fa0428c5e9059ad00,a6c7c809a7d9e1a7c5ad3c82f63cdee90936fd5a1eadbf725b0bbc86a82369da,f9ac6758dcff3597f2541c3ac68f28cb23fe66c1072b025fabf41b141443f8b9,ba1bc543cb935caca81fb27134cc665eca40be2414c7968fa9853d336b3b3988,,factorial_interactions_reveal_tradeoffs,included,registered confidence calibration events,2^3 structural factorial,,operational_for_calibration,operational_for_calibration,diagnostic_only,calibration_rescue_closed,Structural alternatives improve some constraints but identify no compatible cell.,included
4,confidence_scenarios,transparent_scenario_registry,data/provenance/experiments/confidence/confidence_scenario_decision.json,d455306fd7b7553f113099b6d51f962939d8b4793439a02c4638c646a63b25da,d9f3de40aa1d9852c3fb1a51edc172ebf7eafc802a3b4547b003213dc7843adc,b66124cffea3177f5343a91e3529afde29bdf143e189ec358ddf8c5ee198aa4d,b5a2f84babe6ed11bad9fa5200e8b003582023c8766ac22ad4a2c123b9b878ef,data/provenance/experiments/confidence/confidence_scenario_registry.csv:d455306fd7b7553f113099b6d51f962939d8b4793439a02c4638c646a63b25da,transparent_scenario_assumptions,included,scenario mechanism,stage1_only; resilient; central; fragile,0,scenario_dependent,gated_by_unresolved_stress,gated_by_active_bad_debt,not_calibrated_not_ranked,Active scenarios are transparent assumptions and do not represent truth.,included
5,stage1_dai_mechanism,accepted_mechanism,data/provenance/calibration/confidence/stage1_market_estimates.json,stage1-market-and-recovery-gate,e0208285c0f532b81b16ded9d2db74091b0fa34953b968cccc39378a8eb87017,d86625e268c7e8b8abcb6d37e48f87c3c01578c8a3c09024a57da93978614547,98299918d452695b96f639aaae4c2344c189a3351bd55f1d86a2441d5bcded0e,,accepted_stage1_market_response,included,ordinary historical DAI market hours,asymmetric peg response plus 24-hour residual blocks,0,operational,no_direct_recovery_path_term,not_a_direct_state_variable,persistent_confidence_inactive,No direct collateral-recovery-path term exists in Stage 1.,included
6,unbounded_eth_recovery,registered_mechanism_experiment,data/provenance/experiments/recovery/eth_recovery_decision.json,68afcef1166bb6b13813d0e481ce7bddff7605c0ac7326bf8b9d1400eacff20b,f8a747e4e53cdebece4d2fe826836df5b6ee63dc81f561644386720239aa552b,2124186a748617044664942d68d56b740df3b112d84b6889f44c78b80727b59f,ab9767c80c31cb664e29fb68440a388edc3c565f7be2a64fa69ec492147d56f8,data/provenance/experiments/recovery/eth_recovery_cell_summary.csv:4957e93d0b0857aefdfd3bb33853874d9f2e4fd2c6a4e2c1f4bacd2b3afce43e;data/provenance/experiments/recovery/eth_recovery_contrasts.csv:7f38af47d134cc78365715602aa2755f6bd34b0109e810149213f6bd444d6cab;data/provenance/experiments/recovery/eth_recovery_interactions.csv:f0482c8ca8de3548120c5f13c7e3f8ffc92251871af026d1cc18c311c0d96378,no_clear_recovery_path_effect,conditional_channel_absence,100 legacy ETH vaults,four recovery paths x four confidence scenarios,2048,operational_by_confidence_scenario,resolved_immediately,resolved_immediately,transparent_scenarios,Immediate full-close execution leaves no unresolved vault for rebound to rescue.,included
7,constrained_eth_recovery,registered_mechanism_experiment,data/provenance/experiments/constrained_recovery/constrained_recovery_decision.json,6cfbd19384fc95fe8b06de74704d0b2a76638722b100242e0bc87a9ee3e05acc,4016d213eed7cde1262af2cb7cc2318bcb27efd282f35669cdf8f8cb12d0ab70,b366f83fe8d217555aa7f56c8f924ad69d55e15be6f0b0a9713be364121103f6,4acb1fb01a2de68c695e0ef54e21323077fadbb76b8d74d452ad0e12851adc05,data/provenance/experiments/constrained_recovery/constrained_recovery_recovery_contrasts.csv:119a905a058d414bd063dc9fe95c620eba8892f34c88a815e0a3f52c410e4bc4;data/provenance/experiments/constrained_recovery/constrained_recovery_capacity_contrasts.csv:48d540ec015495d77e5e8b6af85ed29b49727b0eebc5ccb5247fd05b4e1ebb90;data/provenance/experiments/constrained_recovery/constrained_recovery_vault_rescue.csv:7c8ef81f874a41451b111087d4890c04ae5cd525e0d9d236c31cfd4c2ac72c06,recovery_effect_capacity_dependent,included,500 empirical-profile ETH vaults,two recovery paths x capacities 14/26/45 x four confidence scenarios,3072,scenario_dependent,operational,degenerate_under_full_close,transparent_scenarios,ETH-only controlled paths; capacity is partially identified.,included
8,experiment_a,registered_final_experiment,data/provenance/experiments/final/idiosyncratic_diversification/idiosyncratic_diversification_decision.json,a9d7c3fa5dc5da9bcf61314a57501ea5a8be506e305eee6f45afaae3131600bb,e6da0af839c53ddffb6eeaea596174d26499afeb55ca0d1910be49c679cd740d,cf720d855adc62c5270042f9d2cb85338ef14d7d80a2aa8cb70f7d0dc7b9f614,d04a955c843b831ae95e9b4a9326b1cb65211041a12121b3e74b98922f562fe7,,H3_idiosyncratic_diversification_supported,included_cross_programme_relation,registered multi-collateral portfolios,idiosyncratic diversification,1024,operational_unchanged,operational,limited_by_full_close,stage1_only,Not a recovery-path experiment.,included
9,experiment_b,registered_final_experiment,data/provenance/experiments/final/correlated_stress/correlated_stress_decision.json,e02c035162f8178c96d2cae71d0a581ce813ab33526854bd5810e8e2810ead83,89f38e38b26426800c14f5b31a32e25aff783cf5951692adc4af0f92e870c680,dc669354d036060ce9477fdca4a863877af3a88ead73a9130d804c1a66b3add6,94f07e9f18b724ab9dd595c9fc8684d0f76cf29007045b4f7d8fc4d03d8fb5de,,H3_correlation_deterioration_supported,included_cross_programme_relation,registered multi-collateral portfolios,bundled correlated-stress contrast,1024,operational_unchanged,operational,limited_by_full_close,stage1_only,Bundled stress comparison is not a pure correlation effect.,included
10,experiment_c,registered_final_experiment,data/provenance/experiments/final/stable_collateral_tradeoff/stable_collateral_tradeoff_decision.json,cb6d00877c54011cc49714bdfe23fad83140fef001568ea9b43d355811c9129b,e5d9469e415c6fdf91e5514281b3c3751a34b81f31c96c60e2923ca80c0272dd,9aa54888c6592859944f7ed5fa3e3b99fecaf29bfcf5518b566d8cdb24489cef,185faa58c4efe3940532544d9a4acbbaf4ab0cc43fb1273bc24425735f4fa1aa,,H3_stable_tradeoff_partially_supported,included_cross_programme_relation,registered multi-collateral portfolios,stable-share trade-off,1536,operational_unchanged,operational,limited_by_full_close,stage1_only,Stable collateral is a counterfactual proxy with no material depeg-cost gradient.,included
