cell_order,cell_identifier,contrast_family,setting,role,portfolio,metric,operationality,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p95
1,R-A__baseline__reference,R-A,baseline,reference,eth_only,backlog_area_share,operational,64,0.095996015644143,0.03283826570235511,0.031633014867526996,0.160359016420759,0.0006938571725180297,0.0,0.0,0.009876840616732496,0.5135670917018066
1,R-A__baseline__reference,R-A,baseline,reference,eth_only,liquidated_debt_share,operational,64,0.04301685087777635,0.012904192388639525,0.017724633796042878,0.06830906795950982,0.00032946679463939795,0.0,0.0,0.005634306554211628,0.3191234995506086
1,R-A__baseline__reference,R-A,baseline,reference,eth_only,maximum_unresolved_tab_share,operational,64,0.02771441986357806,0.010687636876455225,0.0067666515857258205,0.0486621881414303,0.00036922628417796117,0.0,0.0,0.004488017185642045,0.16289963499392157
1,R-A__baseline__reference,R-A,baseline,reference,eth_only,stable_attributed_liquidated_debt_share,degenerate,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,R-A__baseline__reference,R-A,baseline,reference,eth_only,stable_exposure_normalised_liquidated_debt,not_operational,0,,,,,,,,,
1,R-A__baseline__reference,R-A,baseline,reference,eth_only,minimum_dai_price,operational,64,0.9958269544015299,9.294019738143895e-05,0.9956447916146622,0.9960091171883976,0.995768823345027,0.9946423428075098,0.9953444881888578,0.9962900345901844,0.9970921818679443
1,R-A__baseline__reference,R-A,baseline,reference,eth_only,mean_absolute_peg_deviation,operational,64,0.0006095254171371547,8.329790803670353e-06,0.0005931990271619608,0.0006258518071123485,0.0005990412344710089,0.0004976320423532939,0.0005737465560232093,0.0006497341646081328,0.0007095353949990854
2,R-A__baseline__treatment,R-A,baseline,treatment,stable_supported,backlog_area_share,operational,64,0.022241342464528302,0.013744854752483751,-0.004698572850339849,0.049181257779396456,0.0,0.0,0.0,0.0,0.04617149878498025
2,R-A__baseline__treatment,R-A,baseline,treatment,stable_supported,liquidated_debt_share,operational,64,0.007254133809084021,0.003624353884055377,0.00015040019633548278,0.01435786742183256,0.0,0.0,0.0,0.0,0.050436678512923334
2,R-A__baseline__treatment,R-A,baseline,treatment,stable_supported,maximum_unresolved_tab_share,operational,64,0.004173666608165912,0.0024612542566707137,-0.000650391734908687,0.008997724951240512,0.0,0.0,0.0,0.0,0.01131806250703105
2,R-A__baseline__treatment,R-A,baseline,treatment,stable_supported,stable_attributed_liquidated_debt_share,degenerate,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,R-A__baseline__treatment,R-A,baseline,treatment,stable_supported,stable_exposure_normalised_liquidated_debt,degenerate,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,R-A__baseline__treatment,R-A,baseline,treatment,stable_supported,minimum_dai_price,operational,64,0.9958269544015299,9.294019738143895e-05,0.9956447916146622,0.9960091171883976,0.995768823345027,0.9946423428075098,0.9953444881888578,0.9962900345901844,0.9970921818679443
