contrast_family,setting,metric,operationality,materiality,sign_relative_to_core,raw_paired_mean,direction_normalised_advantage,count,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p95
R-A,baseline,backlog_area_share,operational,material,retained,-0.0737546731796147,0.0737546731796147,64,0.024728231100981827,0.025287340221690324,0.12222200613753909,0.0006938571725180297,0.0,-0.0,0.009876840616732496,0.3536231144833695
R-A,baseline,liquidated_debt_share,operational,material,retained,-0.03576271706869232,0.03576271706869232,64,0.010867366828297595,0.014462678085229035,0.057062756052155605,0.00032946679463939795,0.0,-0.0,0.005634306554211628,0.25575451683401246
R-A,baseline,maximum_unresolved_tab_share,operational,material,retained,-0.023540753255412147,0.023540753255412147,64,0.010149518980032895,0.0036476960545476743,0.04343381045627662,0.00032946679463939795,0.0,-0.0,0.0031328201166159852,0.1608336932630799
R-A,population_250,backlog_area_share,operational,material,retained,-0.0659325157012462,0.0659325157012462,64,0.02351075342943187,0.01985143897955973,0.11201359242293266,-0.0,0.0,-0.0,0.015229208856361476,0.4467517874956093
R-A,population_250,liquidated_debt_share,operational,material,retained,-0.03160026123739142,0.03160026123739142,64,0.011921371805856748,0.00823437249791219,0.054966149976870646,-0.0,0.0,-0.0,0.012640023453964113,0.16042417897031253
R-A,population_250,maximum_unresolved_tab_share,operational,material,retained,-0.025765131364670235,0.025765131364670235,64,0.009748863796754999,0.006657358323030438,0.04487290440631003,-0.0,0.0,-0.0,0.005195500572322288,0.1739012827866693
R-A,population_1000,backlog_area_share,operational,material,retained,-0.07229821719695764,0.07229821719695764,64,0.022391062260482833,0.028411735166411288,0.11618469922750399,0.0025122129476581644,0.0,-0.0,0.030903650310361706,0.4333608233788851
R-A,population_1000,liquidated_debt_share,operational,material,retained,-0.033062286591083026,0.033062286591083026,64,0.010540535342064115,0.01240283732063736,0.05372173586152869,0.0010791155973841064,0.0,0.00023231035042521668,0.017507178443008902,0.16384465746598462
R-A,population_1000,maximum_unresolved_tab_share,operational,material,retained,-0.015425730386562584,0.015425730386562584,64,0.006674580464557105,0.002343552676030659,0.02850790809709451,0.0004712366088193049,-0.0012146995360433825,-0.0,0.006310407992525469,0.09302763630943513
R-A,market_block_72,backlog_area_share,operational,material,retained,-0.04606658397923991,0.04606658397923991,64,0.014489067697354155,0.01766801129242577,0.07446515666605405,0.0012361838733666443,0.0,-0.0,0.024937230091446057,0.33692141421159627
