order,identifier,contrast_family,shock,role,portfolio,setting,population,market_block_hours,hurdle,risk_cost_rate,replication_count,row_checksum
1,R-A__baseline__reference,R-A,eth_idiosyncratic_severe,reference,eth_only,baseline,500,168,direct_cost_only,0.0,64,c5648961a9439e3462658590e31400706c51c7fc5df145a0c3c604d2a7f32da4
2,R-A__baseline__treatment,R-A,eth_idiosyncratic_severe,treatment,stable_supported,baseline,500,168,direct_cost_only,0.0,64,4bb8994a7fbec3b6a712050d8c6416b135544d7533259d8450777e6ac14c067a
3,R-A__population_250__reference,R-A,eth_idiosyncratic_severe,reference,eth_only,population_250,250,168,direct_cost_only,0.0,64,2cc8a8a244b1438ef3c1e92ec1bdfea26beca9e3cfcbda00bc41aa74fe6fae4a
4,R-A__population_250__treatment,R-A,eth_idiosyncratic_severe,treatment,stable_supported,population_250,250,168,direct_cost_only,0.0,64,d9eb06e129e286118d8b8f987894837a5e4eb0844422045c1f28efa182b7c64b
5,R-A__population_1000__reference,R-A,eth_idiosyncratic_severe,reference,eth_only,population_1000,1000,168,direct_cost_only,0.0,64,cc596eb2d3ec143c48783702205ac5e78610e3982dc942ae682c6c0f79a4cabe
6,R-A__population_1000__treatment,R-A,eth_idiosyncratic_severe,treatment,stable_supported,population_1000,1000,168,direct_cost_only,0.0,64,abc98af11f73ccc44d321a7dded1d6fb7e6708a090a0f3d786bfae50b907c2ca
7,R-A__market_block_72__reference,R-A,eth_idiosyncratic_severe,reference,eth_only,market_block_72,500,72,direct_cost_only,0.0,64,b5a85502a7b044bba7379d75af85fddad1ba5971d8700df83c37ddd604495e4d
8,R-A__market_block_72__treatment,R-A,eth_idiosyncratic_severe,treatment,stable_supported,market_block_72,500,72,direct_cost_only,0.0,64,2de3108a1e398a3f0907171d15a6800147665f5d40b7f6aaee7492368616eb9b
9,R-A__market_block_336__reference,R-A,eth_idiosyncratic_severe,reference,eth_only,market_block_336,500,336,direct_cost_only,0.0,64,971a72603c0c99dd3a03e089758d7abd9ec22aa1528162548822c375d92330ca
10,R-A__market_block_336__treatment,R-A,eth_idiosyncratic_severe,treatment,stable_supported,market_block_336,500,336,direct_cost_only,0.0,64,8edf7df1077f5670398a318145915bb1b59db1bbff455700eeb2229686cb61c6
11,R-A__keeper_hurdle_low__reference,R-A,eth_idiosyncratic_severe,reference,eth_only,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,232280a6e86c693695d5267fab9e5cb3507e15823a76a77ef99d9748d7ed9d0a
12,R-A__keeper_hurdle_low__treatment,R-A,eth_idiosyncratic_severe,treatment,stable_supported,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,1ccd8638d7c5c74738e4ba206123c02b26b27997b8ffd12342c727576bc2cd13
13,R-A__keeper_hurdle_high__reference,R-A,eth_idiosyncratic_severe,reference,eth_only,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,14b2859d2d0478b069b74d63a00f1486a0894c154dd0923181b7d5e7edc4fb6a
14,R-A__keeper_hurdle_high__treatment,R-A,eth_idiosyncratic_severe,treatment,stable_supported,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,c29e04bb52b2bbb0104d334f3575e8ed530c64d2e60df358578c2646745cd0bc
15,R-B__baseline__reference,R-B,joint_crypto_high_correlation,reference,eth_only,baseline,500,168,direct_cost_only,0.0,64,59c8332af3c0bb475146468cf34de70aae1b1251eda772c19aa3d8326ef72351
16,R-B__baseline__treatment,R-B,joint_crypto_high_correlation,treatment,stable_supported,baseline,500,168,direct_cost_only,0.0,64,0422764618aab12a76ce3c57190951b24300ae7117f96f3cbd4f3e1d31262519
17,R-B__population_250__reference,R-B,joint_crypto_high_correlation,reference,eth_only,population_250,250,168,direct_cost_only,0.0,64,0c3b4481e422a9f1328c0d1758a9f20a4d8cdfc40ac25696932aa81d153ccd71
18,R-B__population_250__treatment,R-B,joint_crypto_high_correlation,treatment,stable_supported,population_250,250,168,direct_cost_only,0.0,64,4e5d2ff258649610cd778b0261c766fe1b452b6c2d942fe5fea78931e69a6e49
19,R-B__population_1000__reference,R-B,joint_crypto_high_correlation,reference,eth_only,population_1000,1000,168,direct_cost_only,0.0,64,b2b49b8f0076874b67aa8fa0d808b690248e507faeed68330ffa925758098f7f
20,R-B__population_1000__treatment,R-B,joint_crypto_high_correlation,treatment,stable_supported,population_1000,1000,168,direct_cost_only,0.0,64,a8dc2118377eab24f6cd60d62993545183e4ec36727f4c41457405c8d1238003
21,R-B__market_block_72__reference,R-B,joint_crypto_high_correlation,reference,eth_only,market_block_72,500,72,direct_cost_only,0.0,64,008b0f83c19cba60dfc1384e60f2512db20aea47098e687f70944781cca7aa48
22,R-B__market_block_72__treatment,R-B,joint_crypto_high_correlation,treatment,stable_supported,market_block_72,500,72,direct_cost_only,0.0,64,a8c653df4a31fbd86093f176fbf4e212c7b0e7a32bdc80c8f23b6e547bac37df
23,R-B__market_block_336__reference,R-B,joint_crypto_high_correlation,reference,eth_only,market_block_336,500,336,direct_cost_only,0.0,64,53216680baad23f93cd394d091c81237920508e8d2831c8e58574fd9f2d4c35f
24,R-B__market_block_336__treatment,R-B,joint_crypto_high_correlation,treatment,stable_supported,market_block_336,500,336,direct_cost_only,0.0,64,29b60dcd555033dbbed1a15340216d80d8bf09d45b2002449017084879196f92
25,R-B__keeper_hurdle_low__reference,R-B,joint_crypto_high_correlation,reference,eth_only,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,56c416b518088c5003cbd258f7c4efc6544d4fab88ad6c6b0b97263b28143e50
26,R-B__keeper_hurdle_low__treatment,R-B,joint_crypto_high_correlation,treatment,stable_supported,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,d54451fd962cf4f12a7ca436a3937eecbabafe21dc02b4bf418667292d06fc65
27,R-B__keeper_hurdle_high__reference,R-B,joint_crypto_high_correlation,reference,eth_only,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,5e9f9a318c23f380cf89e71b18ac188cdb6309d847adfcfd8dc05e52c98658c1
28,R-B__keeper_hurdle_high__treatment,R-B,joint_crypto_high_correlation,treatment,stable_supported,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,e7861e8b4f0a740041241547afe203c0212d1a19bae608a5ee497095179de195
29,R-C__baseline__reference,R-C,joint_crypto_stable_stress,reference,empirical_crypto,baseline,500,168,direct_cost_only,0.0,64,b5c1bb97f501ce6d2a76333af9e728fa8acbd1e1c54143b4190c4ee767c90e0c
30,R-C__baseline__treatment,R-C,joint_crypto_stable_stress,treatment,stable_supported,baseline,500,168,direct_cost_only,0.0,64,f95b1662858141ef17fba1d6b1095167654364c49a1119890b8b1b60f7457f09
31,R-C__population_250__reference,R-C,joint_crypto_stable_stress,reference,empirical_crypto,population_250,250,168,direct_cost_only,0.0,64,e914a0d01d42dda4c090d27be6c83eac37a4e038d6f9f3a4dfc9b5208078fe94
32,R-C__population_250__treatment,R-C,joint_crypto_stable_stress,treatment,stable_supported,population_250,250,168,direct_cost_only,0.0,64,dbd68a940f1a45d5a9ee8323a1f64e11facb4f54daaf06a931e8e9c0bff615fd
33,R-C__population_1000__reference,R-C,joint_crypto_stable_stress,reference,empirical_crypto,population_1000,1000,168,direct_cost_only,0.0,64,48676f692901c6578534409f22405eaee6d1b80675df19a17482b564913a987a
34,R-C__population_1000__treatment,R-C,joint_crypto_stable_stress,treatment,stable_supported,population_1000,1000,168,direct_cost_only,0.0,64,0a7bd80a667b9429242e623643d9ab27bc63d41b57f558fb180b172e8fae1e56
35,R-C__market_block_72__reference,R-C,joint_crypto_stable_stress,reference,empirical_crypto,market_block_72,500,72,direct_cost_only,0.0,64,9574a44c73afafa6242e197355420896d45d397ef52de75ba4388a1f1f4fc967
36,R-C__market_block_72__treatment,R-C,joint_crypto_stable_stress,treatment,stable_supported,market_block_72,500,72,direct_cost_only,0.0,64,7df6f3673a9f064400aead4de48e3489ef180eaedc48fd09cab9d927bb16cb9a
37,R-C__market_block_336__reference,R-C,joint_crypto_stable_stress,reference,empirical_crypto,market_block_336,500,336,direct_cost_only,0.0,64,8977373d2995e07caaa882571577ba74e79716a99f7054f80fd601f1d54cf094
38,R-C__market_block_336__treatment,R-C,joint_crypto_stable_stress,treatment,stable_supported,market_block_336,500,336,direct_cost_only,0.0,64,8be4f55950cddceedb37acae434dac7cf2c4c61a0363cd32b11d371dfe4725bf
39,R-C__keeper_hurdle_low__reference,R-C,joint_crypto_stable_stress,reference,empirical_crypto,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,00bb2bbd9b7cfda15e3b394462a1cac9c6a7f244d8382f6d626d74e4fc770260
40,R-C__keeper_hurdle_low__treatment,R-C,joint_crypto_stable_stress,treatment,stable_supported,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,af2b782ddd412b419399c4e27ca5a2da664c3cfd19c1ee5f130728c42f359e7b
41,R-C__keeper_hurdle_high__reference,R-C,joint_crypto_stable_stress,reference,empirical_crypto,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,c339898a69c8aa2c3244d4ca799a3c047e306fd0fb8299e7e3a86678e14dff1a
42,R-C__keeper_hurdle_high__treatment,R-C,joint_crypto_stable_stress,treatment,stable_supported,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,389b7f4079c5b181303408afd1a57fa4a35f095c62f32e1f3b51ad68bacb47cf
43,R-D__baseline__reference,R-D,stable_depeg_severe,reference,stable_supported,baseline,500,168,direct_cost_only,0.0,64,e0c242c82e691c924b76f3742abf55bbf8a67341b9f7bbba97446122a5a37cf0
44,R-D__baseline__treatment,R-D,stable_depeg_severe,treatment,stable_heavy,baseline,500,168,direct_cost_only,0.0,64,c9cbf3066ad94d000788597ff95a9b8baa6af93945902cde863b0d0901bf07d3
45,R-D__population_250__reference,R-D,stable_depeg_severe,reference,stable_supported,population_250,250,168,direct_cost_only,0.0,64,f835a5b5b96f4883ecf0f0f290c45e52e3ec18f1fe3d518ffe578295413aaf78
46,R-D__population_250__treatment,R-D,stable_depeg_severe,treatment,stable_heavy,population_250,250,168,direct_cost_only,0.0,64,b18fbe07511fdb2fe4649afa2bfe1d69f1679ab90abff1ae16a9999980eee3ec
47,R-D__population_1000__reference,R-D,stable_depeg_severe,reference,stable_supported,population_1000,1000,168,direct_cost_only,0.0,64,9631b1ae4fe3cfa7301e5c35a7ec64b4555a111c5365565c5f651890ba819d01
48,R-D__population_1000__treatment,R-D,stable_depeg_severe,treatment,stable_heavy,population_1000,1000,168,direct_cost_only,0.0,64,46871f4b03761ec59460a05cfc324afdabb7fba99a2c52fb405741a397abdacf
49,R-D__market_block_72__reference,R-D,stable_depeg_severe,reference,stable_supported,market_block_72,500,72,direct_cost_only,0.0,64,0186513c03d3ee9933ee688174e23bc9bbda315144efbb2ca3492de9826c2557
50,R-D__market_block_72__treatment,R-D,stable_depeg_severe,treatment,stable_heavy,market_block_72,500,72,direct_cost_only,0.0,64,0bf69e48757c1a6fff27cf88ee49880beda25400420ece38921a931b05943d15
51,R-D__market_block_336__reference,R-D,stable_depeg_severe,reference,stable_supported,market_block_336,500,336,direct_cost_only,0.0,64,3fb2194c465d03088f1d01f4480449f7207fc72fc95316bdd9932da55b87c994
52,R-D__market_block_336__treatment,R-D,stable_depeg_severe,treatment,stable_heavy,market_block_336,500,336,direct_cost_only,0.0,64,fd10fb28153bd888ddf8b5a7135daa5dff86f8475321781ed783fb2cbfe7ea26
53,R-D__keeper_hurdle_low__reference,R-D,stable_depeg_severe,reference,stable_supported,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,1587183cb8ea3c9d070ff504129353db79e1096ca3e7a039d4243f0635dc1de2
54,R-D__keeper_hurdle_low__treatment,R-D,stable_depeg_severe,treatment,stable_heavy,keeper_hurdle_low,500,168,keeper_hurdle_low,0.10510090048,64,6e96d1da57e57cc5e6fad03748e4a6fc6af80179ff3487cfa23b5f198334f56e
55,R-D__keeper_hurdle_high__reference,R-D,stable_depeg_severe,reference,stable_supported,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,944505951660fd322120c9110a80f4713959c06dc05b4471f13a0cd3e0f33dc5
56,R-D__keeper_hurdle_high__treatment,R-D,stable_depeg_severe,treatment,stable_heavy,keeper_hurdle_high,500,168,keeper_hurdle_high,0.124431757397,64,e9a6fb45545cab9e21c1a64e85c24b215ae881747ea8c23349b197d2e1faf1d7
