cell_order,cell_identifier,anchor,portfolio,shock,capacity,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,backlog_area_share,operational,1,128,0.08058374132559372,0.02459329434731912,0.032380884404848244,0.1287865982463392,0.0015928360982385213,0.0,0.0,0.05160278474555975,0.150779363612574,0.3979412530851704,0.578125
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,maximum_unresolved_tab_share,operational,1,128,0.01965148379041821,0.0047196463648073814,0.010400976915395743,0.028901990665440677,0.0005254152881411864,0.0,0.0,0.01001691382169439,0.041561028286092754,0.1442745126636078,0.578125
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,3,terminal_unresolved_tab_share,operational,1,128,2.3901769594792686e-06,1.3571013443939426e-06,-2.697416755328589e-07,5.050095594491396e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.046875
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,4,liquidation_completion_ratio,operational,-1,78,0.8950138628317587,0.02614883899337304,0.8437621384047475,0.9462655872587699,0.9966002431260959,0.29389600400429006,0.9534096575595226,1.0,1.0,1.0,1.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,5,capacity_rejected_opportunity_count,operational,1,128,1.0625,0.4483332540565259,0.18376682204920924,1.9412331779507908,0.0,0.0,0.0,0.0,0.0,5.6499999999999915,0.0859375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,6,capacity_rejection_share,operational,1,78,0.012593415216519287,0.004186332863610422,0.004388202803842859,0.020798627629195716,0.0,0.0,0.0,0.0,0.05537725225225222,0.09791834813021251,0.14102564102564102
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,7,successful_closure_count,operational,-1,128,13.5390625,2.1886288522547623,9.249349949580665,17.828775050419335,2.5,0.0,0.0,16.5,40.0,61.949999999999974,0.609375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,8,liquidated_debt_share,operational,-1,128,0.04021103105733745,0.008294926955465333,0.023952974224625397,0.0564690878900495,0.0010437268289849688,0.0,0.0,0.02130552886909384,0.13322167062729878,0.2489591169503919,0.609375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,9,debt_weighted_liquidated_vault_share,operational,-1,128,0.04021103105733745,0.008294926955465331,0.0239529742246254,0.056469087890049494,0.0010437268289849688,0.0,0.0,0.02130552886909384,0.13322167062729878,0.248959116950392,0.609375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,10,hours_with_positive_unresolved_backlog,operational,1,128,20.3046875,4.085283004708701,12.297532810770946,28.311842189229054,3.0,0.0,0.0,19.25,52.89999999999999,109.3999999999997,0.578125
