cell_order,cell_identifier,anchor,portfolio,shock,capacity,family_order,family,metric_order,metric,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,1,initial_debt_exposure,128,2120985.2816991024,4.000865136176992e-11,2120985.2816991024,2120985.2816991024,2120985.281699102,2120985.281699102,2120985.281699102,2120985.281699102,2120985.2816991024,2120985.2816991024,1.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,2,eligible_liquidation_tab,128,94546.68342380226,19451.023094436958,56422.67815870582,132670.6886888987,2063.3265766332042,0.0,0.0,43636.05385029166,329009.06725100876,636662.4784583048,0.6015625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,3,candidate_count,128,106.2734375,23.087260956209313,61.022406025829746,151.52446897417025,6.0,0.0,0.0,79.25,264.5999999999999,459.29999999999916,0.6015625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,4,profitability_filtered_count,128,57.078125,11.095148225487852,35.33163447804381,78.82461552195619,5.0,0.0,0.0,62.0,155.09999999999997,232.0,0.6015625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,5,selected_count,128,20.6015625,3.94130377830767,12.876607094516967,28.326517905483033,2.0,0.0,0.0,20.0,54.499999999999986,102.49999999999991,0.59375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,6,rejected_count,128,1.03125,0.4269953017269047,0.19433920861526677,1.8681607913847333,0.0,0.0,0.0,0.0,0.0,5.6499999999999915,0.0859375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,7,successful_closure_count,128,11.9140625,1.8955250394458238,8.198833422686185,15.629291577313815,1.5,0.0,0.0,15.25,36.599999999999994,53.599999999999966,0.59375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,8,liquidated_debt,128,89309.76015709275,18996.80053159001,52076.03111517633,126543.48919900917,1507.3566528523097,0.0,0.0,35169.17206255859,327777.45744661475,612165.1158513271,0.59375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,9,terminal_unresolved_tab,128,4.706829114364701,3.161554917701435,-1.4898185243301114,10.903476753059513,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,10,backlog_area,128,173508.44863193686,54300.800476083765,67078.87969881269,279938.01756506105,1954.6664419009774,0.0,0.0,69961.45623678365,321560.7759605107,944451.9431982886,0.5625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,11,maximum_backlog,128,45542.24756785009,11487.87777501952,23026.007128811834,68058.48800688835,572.1451148948393,0.0,0.0,16920.52556259381,98184.83869932762,333749.5070266645,0.5625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,12,terminal_active_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,13,realised_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,14,keeper_profit_proxy,128,11379.708899283807,2443.696791947519,6590.063187066669,16169.354611500945,113.30533142139092,0.0,0.0,4382.571532995551,41648.78033258308,78881.56217835323,0.59375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,15,share_system_capacity_consumed,78,0.8815344899588493,0.02307815595900786,0.8363013042791939,0.9267676756385047,0.9468984962406015,0.47500000000000003,0.8722222222222222,1.0,1.0,1.0,0.9743589743589743
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,16,share_system_rejections,11,0.9901185770750988,0.006788760489058363,0.9768126065165443,1.0034245476336532,1.0,0.9456521739130435,1.0,1.0,1.0,1.0,1.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,17,contribution_to_system_backlog,74,0.812668974715116,0.031506930989607815,0.7509153899754847,0.8744225594547473,0.9435319795790225,0.09842916315301613,0.6961527453636847,1.0,1.0,1.0,0.972972972972973
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,18,exposure_normalised_backlog,128,0.08180558824667603,0.025601686605096995,0.031626282500685915,0.13198489399266614,0.0009215841612701393,0.0,0.0,0.032985356777553,0.15160915011296605,0.44528924898606403,0.5625
