contrast_order,contrast_type,anchor,family,metric,left_capacity,right_capacity,contrast_label,direction_multiplier,operationality,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,classification
1,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,backlog_area_share,14,26,capacity_14_minus_26,1,operational,128,0.000499570701749618,0.0002525123984720961,4.646400744309667e-06,0.0009944950027549262,0.0,0.0,0.0,0.0,0.0,0.0007850918004764583,0.0703125,9,0,
2,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,backlog_area_share,14,26,capacity_14_minus_26,1,operational,128,0.000499570701749618,0.0002525123984720961,4.646400744309667e-06,0.0009944950027549262,0.0,0.0,0.0,0.0,0.0,0.0007850918004764583,0.0703125,9,0,
3,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,backlog_area_share,26,45,capacity_26_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
4,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,backlog_area_share,26,45,capacity_26_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
5,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,backlog_area_share,14,45,capacity_14_minus_45,1,operational,128,0.000499570701749618,0.0002525123984720961,4.646400744309667e-06,0.0009944950027549262,0.0,0.0,0.0,0.0,0.0,0.0007850918004764583,0.0703125,9,0,
6,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,backlog_area_share,14,45,capacity_14_minus_45,1,operational,128,0.000499570701749618,0.0002525123984720961,4.646400744309667e-06,0.0009944950027549262,0.0,0.0,0.0,0.0,0.0,0.0007850918004764583,0.0703125,9,0,
7,monotonicity_classification,empirical_crypto__joint_crypto_high_correlation,,backlog_area_share,14,45,capacity_14_minus_45,1,operational,128,0.000499570701749618,0.0002525123984720961,4.646400744309667e-06,0.0009944950027549262,0.0,0.0,0.0,0.0,0.0,0.0007850918004764583,0.0703125,9,0,threshold_relief
8,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,maximum_unresolved_tab_share,14,26,capacity_14_minus_26,1,operational,128,9.460616922055305e-07,7.24177649613379e-07,-4.733265010366923e-07,2.3654498854477533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,2,0,
9,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,maximum_unresolved_tab_share,14,26,capacity_14_minus_26,1,operational,128,9.460616922055305e-07,7.24177649613379e-07,-4.733265010366923e-07,2.3654498854477533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,2,0,
10,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,maximum_unresolved_tab_share,26,45,capacity_26_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
11,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,maximum_unresolved_tab_share,26,45,capacity_26_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
12,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,maximum_unresolved_tab_share,14,45,capacity_14_minus_45,1,operational,128,9.460616922055305e-07,7.24177649613379e-07,-4.733265010366923e-07,2.3654498854477533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,2,0,
13,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,maximum_unresolved_tab_share,14,45,capacity_14_minus_45,1,operational,128,9.460616922055305e-07,7.24177649613379e-07,-4.733265010366923e-07,2.3654498854477533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,2,0,
14,monotonicity_classification,empirical_crypto__joint_crypto_high_correlation,,maximum_unresolved_tab_share,14,45,capacity_14_minus_45,1,operational,128,9.460616922055305e-07,7.24177649613379e-07,-4.733265010366923e-07,2.3654498854477533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,2,0,no_capacity_effect
15,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,terminal_unresolved_tab_share,14,26,capacity_14_minus_26,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
16,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,terminal_unresolved_tab_share,14,26,capacity_14_minus_26,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
17,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,terminal_unresolved_tab_share,26,45,capacity_26_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
18,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,terminal_unresolved_tab_share,26,45,capacity_26_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
19,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,terminal_unresolved_tab_share,14,45,capacity_14_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
20,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,terminal_unresolved_tab_share,14,45,capacity_14_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
21,monotonicity_classification,empirical_crypto__joint_crypto_high_correlation,,terminal_unresolved_tab_share,14,45,capacity_14_minus_45,1,operational,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,no_capacity_effect
22,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,liquidation_completion_ratio,14,26,capacity_14_minus_26,1,operational,78,-0.00010328249185235314,7.85727555893954e-05,-0.0002572850928075681,5.072010910286185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,2,2,
23,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,liquidation_completion_ratio,14,26,capacity_14_minus_26,-1,operational,78,0.00010328249185235314,7.85727555893954e-05,-5.072010910286185e-05,0.0002572850928075681,0.0,-0.0,0.0,-0.0,0.0,0.0,0.02564102564102564,2,2,
24,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,liquidation_completion_ratio,26,45,capacity_26_minus_45,1,operational,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
25,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,liquidation_completion_ratio,26,45,capacity_26_minus_45,-1,operational,78,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0,0,
26,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,liquidation_completion_ratio,14,45,capacity_14_minus_45,1,operational,78,-0.00010328249185235314,7.85727555893954e-05,-0.0002572850928075681,5.072010910286185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,2,2,
27,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,liquidation_completion_ratio,14,45,capacity_14_minus_45,-1,operational,78,0.00010328249185235314,7.85727555893954e-05,-5.072010910286185e-05,0.0002572850928075681,0.0,-0.0,0.0,-0.0,0.0,0.0,0.02564102564102564,2,2,
28,monotonicity_classification,empirical_crypto__joint_crypto_high_correlation,,liquidation_completion_ratio,14,45,capacity_14_minus_45,-1,operational,78,0.00010328249185235314,7.85727555893954e-05,-5.072010910286185e-05,0.0002572850928075681,0.0,-0.0,0.0,-0.0,0.0,0.0,0.02564102564102564,2,2,no_capacity_effect
29,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,capacity_rejected_opportunity_count,14,26,capacity_14_minus_26,1,operational,128,0.921875,0.3658007771156122,0.2049054768534001,1.6388445231466,0.0,0.0,0.0,0.0,0.0,5.6499999999999915,0.0859375,11,0,
30,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,capacity_rejected_opportunity_count,14,26,capacity_14_minus_26,1,operational,128,0.921875,0.3658007771156122,0.2049054768534001,1.6388445231466,0.0,0.0,0.0,0.0,0.0,5.6499999999999915,0.0859375,11,0,
31,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,capacity_rejected_opportunity_count,26,45,capacity_26_minus_45,1,operational,128,0.140625,0.0977945624857111,-0.05105234247199375,0.33230234247199375,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,3,0,
32,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,capacity_rejected_opportunity_count,26,45,capacity_26_minus_45,1,operational,128,0.140625,0.0977945624857111,-0.05105234247199375,0.33230234247199375,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,3,0,
33,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,capacity_rejected_opportunity_count,14,45,capacity_14_minus_45,1,operational,128,1.0625,0.4483332540565259,0.18376682204920924,1.9412331779507908,0.0,0.0,0.0,0.0,0.0,5.6499999999999915,0.0859375,11,0,
34,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,capacity_rejected_opportunity_count,14,45,capacity_14_minus_45,1,operational,128,1.0625,0.4483332540565259,0.18376682204920924,1.9412331779507908,0.0,0.0,0.0,0.0,0.0,5.6499999999999915,0.0859375,11,0,
35,monotonicity_classification,empirical_crypto__joint_crypto_high_correlation,,capacity_rejected_opportunity_count,14,45,capacity_14_minus_45,1,operational,128,1.0625,0.4483332540565259,0.18376682204920924,1.9412331779507908,0.0,0.0,0.0,0.0,0.0,5.6499999999999915,0.0859375,11,0,threshold_relief
36,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,capacity_rejection_share,14,26,capacity_14_minus_26,1,operational,78,0.011496645853904855,0.0037573979277408303,0.004132145915532827,0.018861145792276882,0.0,0.0,0.0,0.0,0.05537725225225222,0.07238002718129219,0.14102564102564102,11,0,
37,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,capacity_rejection_share,14,26,capacity_14_minus_26,1,operational,78,0.011496645853904855,0.0037573979277408303,0.004132145915532827,0.018861145792276882,0.0,0.0,0.0,0.0,0.05537725225225222,0.07238002718129219,0.14102564102564102,11,0,
38,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,capacity_rejection_share,26,45,capacity_26_minus_45,1,operational,78,0.001096769362614433,0.0007465691376451577,-0.000366506147170076,0.002560044872398942,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,3,0,
39,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,capacity_rejection_share,26,45,capacity_26_minus_45,1,operational,78,0.001096769362614433,0.0007465691376451577,-0.000366506147170076,0.002560044872398942,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,3,0,
40,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,capacity_rejection_share,14,45,capacity_14_minus_45,1,operational,78,0.012593415216519287,0.004186332863610422,0.004388202803842859,0.020798627629195716,0.0,0.0,0.0,0.0,0.05537725225225222,0.09791834813021251,0.14102564102564102,11,0,
41,direction_normalised_capacity_relief,empirical_crypto__joint_crypto_high_correlation,,capacity_rejection_share,14,45,capacity_14_minus_45,1,operational,78,0.012593415216519287,0.004186332863610422,0.004388202803842859,0.020798627629195716,0.0,0.0,0.0,0.0,0.05537725225225222,0.09791834813021251,0.14102564102564102,11,0,
42,monotonicity_classification,empirical_crypto__joint_crypto_high_correlation,,capacity_rejection_share,14,45,capacity_14_minus_45,1,operational,78,0.012593415216519287,0.004186332863610422,0.004388202803842859,0.020798627629195716,0.0,0.0,0.0,0.0,0.05537725225225222,0.09791834813021251,0.14102564102564102,11,0,threshold_relief
43,raw_capacity_contrast,empirical_crypto__joint_crypto_high_correlation,,successful_closure_count,14,26,capacity_14_minus_26,1,operational,128,-0.0703125,0.0629253183364698,-0.19364612393948083,0.053021123939480816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
