contrast_order,contrast_type,shock,portfolio,reference_portfolio,comparison_shock,family,metric,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,reversal
1,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,unresolved_tab_share,1,128,-0.00834775909322552,0.003677497214606857,-0.01555565363385496,-0.0011398645525960809,0.0,-0.07206605152951535,-0.004048181648885247,0.0,0.0,0.0,0.046875,,,
5,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,backlog_area_share,1,128,-0.04537577110029074,0.01797237971678121,-0.08060163534518192,-0.01014990685539957,-9.075911075829007e-05,-0.2764912937950649,-0.016604417490391724,0.0,0.0,0.0,0.0390625,,,
6,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,liquidated_debt_share,1,128,-0.02271182614360917,0.005344972837107313,-0.0331879729043395,-0.012235679382878837,-0.000550919222175722,-0.18181585978064543,-0.00905465223565578,0.0,0.0,7.566783493234544e-05,0.0546875,,,
7,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,debt_weighted_liquidated_vault_share,1,128,-0.02271182614360917,0.005344972837107313,-0.0331879729043395,-0.012235679382878837,-0.000550919222175722,-0.18181585978064543,-0.00905465223565578,0.0,0.0,7.566783493234544e-05,0.0546875,,,
8,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,successful_closure_count,1,128,-7.96875,1.128327182953304,-10.180271278588476,-5.757228721411524,-1.5,-35.3,-12.25,0.0,0.0,0.0,0.0078125,,,
9,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,capacity_rejected_opportunities,1,128,-0.015625,0.015625,-0.04625,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
11,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
12,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
13,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
14,raw_portfolio_contrast,joint_crypto_high_correlation,stable_supported,empirical_crypto,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
16,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
18,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,unresolved_tab_share,1,128,-0.015175013881664399,0.0033851078399791653,-0.02180982524802356,-0.008540202515305236,-0.0002278655531152004,-0.10260066531508397,-0.007294840172350411,0.0,0.0,0.0,0.0078125,,,
19,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,backlog_area_share,1,128,-0.0724146389261886,0.018481003434618615,-0.10863740565804109,-0.03619187219433612,-0.00031009374193568704,-0.4796008301692688,-0.02426239128731089,0.0,0.0,0.0,0.0078125,,,
20,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,liquidated_debt_share,1,128,-0.03183024034482597,0.006339387678338153,-0.04425544019436875,-0.019405040495283188,-0.0007052356059071895,-0.22084034182140683,-0.015827811946152938,0.0,0.0,0.0,0.0078125,,,
21,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,debt_weighted_liquidated_vault_share,1,128,-0.03183024034482597,0.006339387678338154,-0.04425544019436875,-0.019405040495283188,-0.0007052356059071895,-0.22084034182140683,-0.015827811946152934,0.0,0.0,0.0,0.0078125,,,
22,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,successful_closure_count,1,128,-11.5,1.8319869489443317,-15.090694419930891,-7.90930558006911,-1.5,-54.9,-15.0,0.0,0.0,0.0,0.0,,,
23,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,capacity_rejected_opportunities,1,128,-0.015625,0.015625,-0.04625,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
24,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
25,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
26,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
27,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
28,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
30,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
32,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,unresolved_tab_share,1,128,-0.006827254788438876,0.0028753808359075054,-0.012463001226817587,-0.0011915083500601657,0.0,-0.029230469724177817,-7.459780763010199e-05,0.0,0.0,0.0,0.0234375,,,
33,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,backlog_area_share,1,128,-0.02703886782589787,0.01076477619396559,-0.04813782916607043,-0.005939906485725312,0.0,-0.15741683650915028,-0.00017185404404147992,0.0,0.0,0.0,0.015625,,,
34,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,liquidated_debt_share,1,128,-0.0091184142012168,0.0030581885714911113,-0.015112463801339378,-0.0031243646010942223,0.0,-0.06195983800550667,-0.00022005654011063406,0.0,0.0,0.0,0.015625,,,
