cell_order,cell_identifier,shock,portfolio,capacity,hurdle,confidence,oracle_delay,replication_count,master_row_checksum,row_checksum
1,joint_crypto_high_correlation__empirical_crypto,joint_crypto_high_correlation,empirical_crypto,26,direct_cost_only,stage1_only,0,128,bf183001addb9989f0a3796f4fa8f131f783ef609c0c78591d9f24ede66f2937,9e3706ee63abf8c8601e25ed97b7269266f55454c10f4201c8fe4503dc95f120
2,joint_crypto_high_correlation__stable_supported,joint_crypto_high_correlation,stable_supported,26,direct_cost_only,stage1_only,0,128,bc8f45be78952c945db30625b33932156d529110697559b3c7610d5b55feec54,f2b2954679b488881b3eb263acfa0c5efcc29cc56b3e2b4389b42c3350a6cfc5
3,joint_crypto_high_correlation__stable_heavy,joint_crypto_high_correlation,stable_heavy,26,direct_cost_only,stage1_only,0,128,b802087753fead6f0109a4564b4354a68a153eec39ee6cb411f3e8df9343533a,8572744616423d1251724065eacfaf724d99084be6ff778f44e87d5921b96e4c
4,stable_depeg_moderate__empirical_crypto,stable_depeg_moderate,empirical_crypto,26,direct_cost_only,stage1_only,0,128,83442939bae279b996ba2e34b2116bb380e0a1853cc0a70c397ff39bfe2ee8e2,c4eb56e8ad7c4f1c4c081153d3449bf7f5cb67218f5f4e8290be7eadff23bc34
5,stable_depeg_moderate__stable_supported,stable_depeg_moderate,stable_supported,26,direct_cost_only,stage1_only,0,128,f2264540eb106b230057d6bcac8ae7611718564e7e3672460380425b28eb04b5,bdc182dd1b161179db233f80a8af18b28ed72d67fc6b21c058b70f72077c3e77
6,stable_depeg_moderate__stable_heavy,stable_depeg_moderate,stable_heavy,26,direct_cost_only,stage1_only,0,128,4b18a718c467eb31c6a07a401acc7ded211dea6b27e77fe66364a2744d5620db,e256b47e0103279efbafa739b35a09ac4ba5d8b5fa58c2028c51700a4fe18ca3
7,stable_depeg_severe__empirical_crypto,stable_depeg_severe,empirical_crypto,26,direct_cost_only,stage1_only,0,128,9cdc18c53940850ee3a8b8cd0a76756a2e43887552a7ef16133d3ce4649b19bd,5d82973cbfa842cce169c3eacc0bc4ae9df2dbcbc27ef628b23b3126e552ed46
8,stable_depeg_severe__stable_supported,stable_depeg_severe,stable_supported,26,direct_cost_only,stage1_only,0,128,1de2dd15f69265cb05a8ae0253ed149c3396d515212549458753c6fd6b0848db,2aba910d296fb44bbc98a542859af25c901de40ca93e728925a940d3bdba99a6
9,stable_depeg_severe__stable_heavy,stable_depeg_severe,stable_heavy,26,direct_cost_only,stage1_only,0,128,5a8c95986e14d40c90ff84b0f9540dfcc958119157f57f55d0e3c73a04fb12a5,062366de8a3ce7bf406554626cc6a69e638fcd3745b60c1ae4c80126c3f0073c
10,joint_crypto_stable_stress__empirical_crypto,joint_crypto_stable_stress,empirical_crypto,26,direct_cost_only,stage1_only,0,128,1bdd0c4fb989afc5229552143bd0cd9e59c62e315d552295b2b47373d411263c,42fe52e4e8f6d48634836c896bb5d9dd15d7fc121a9ae6c88248740116587285
11,joint_crypto_stable_stress__stable_supported,joint_crypto_stable_stress,stable_supported,26,direct_cost_only,stage1_only,0,128,ed393f6672beaf42a8d6a25a294d0104abfe6a15229df1c980decf40f2516b47,4b03f0ea2ae5e05a52976fbc38f00adca8eafa6935508d34fce59f3289294904
12,joint_crypto_stable_stress__stable_heavy,joint_crypto_stable_stress,stable_heavy,26,direct_cost_only,stage1_only,0,128,445d24581b655a83cce1ba9e76aa0c3233476fc39b061644a389e052de4d1700,52ba9e0ff14c83006495ba0494df1c2feaa1ca9fcbb2b55a4ca940020770a74a
