programme_order,experiment_identifier,research_question_identifiers,hypothesis_identifiers,cell_order,cell_identifier,portfolio_identifier,shock_identifier,capacity_profile_identifier,maximum_liquidations_per_step,confidence_scenario_identifier,hurdle_profile_identifier,risk_cost_rate,oracle_treatment_identifier,oracle_delay_steps,replication_count,execution_status,row_checksum
1,A_idiosyncratic_diversification,RQ4,H3,1,eth_idiosyncratic_severe__eth_only,eth_only,eth_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,872e238dbf739e2862c55653ba7d9d3dcc323cec5a5918f97d31e06f45ea68f7
1,A_idiosyncratic_diversification,RQ4,H3,2,eth_idiosyncratic_severe__empirical_crypto,empirical_crypto,eth_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,98c2cd7cbc71cae0c41414aa74f7db1f8e0b66bf3b742035654e8f069c84427b
1,A_idiosyncratic_diversification,RQ4,H3,3,eth_idiosyncratic_severe__balanced_crypto,balanced_crypto,eth_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,3b36d09f1952dd435a2c5b842cbd059868efd09de7df83c9da9a11770202288e
1,A_idiosyncratic_diversification,RQ4,H3,4,eth_idiosyncratic_severe__stable_supported,stable_supported,eth_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,43183878b637f5e4ce83b33911d14974368adfd8991c00fc991f5653a3e7bf2b
1,A_idiosyncratic_diversification,RQ4,H3,5,wbtc_idiosyncratic_severe__eth_only,eth_only,wbtc_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,4d1253bc5d3f00cd872a2a28701bdb54e2defd19b960cff42c3c0dba2dcbe987
1,A_idiosyncratic_diversification,RQ4,H3,6,wbtc_idiosyncratic_severe__empirical_crypto,empirical_crypto,wbtc_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,2c60b878af0dcde5cbba652ac1392d8abbd1acb9b7540c61adf02b3b58c4fbd9
1,A_idiosyncratic_diversification,RQ4,H3,7,wbtc_idiosyncratic_severe__balanced_crypto,balanced_crypto,wbtc_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,8d5710d15c0fab0eca4c1378adf47f273a86e58c227bdeba1d17125943919679
1,A_idiosyncratic_diversification,RQ4,H3,8,wbtc_idiosyncratic_severe__stable_supported,stable_supported,wbtc_idiosyncratic_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,authorised_current_pass,5f362ecf82b12dfd8747c81a4d7fbb01c4578e2310890f2d9cae3acd57faa652
2,B_correlated_stress,RQ4,H3,1,joint_crypto_empirical_stress__eth_only,eth_only,joint_crypto_empirical_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,fac35e79f80b7261a19bf7d5d91e2dd706b64d457e6daa29bb7129f38f219cb1
2,B_correlated_stress,RQ4,H3,2,joint_crypto_empirical_stress__empirical_crypto,empirical_crypto,joint_crypto_empirical_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,885504b2138bccb402533e8cfe669e01af684a9e03aa10681a716a3a30f38ec6
2,B_correlated_stress,RQ4,H3,3,joint_crypto_empirical_stress__balanced_crypto,balanced_crypto,joint_crypto_empirical_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,83f75da92625591a5067888d7e6353d70562572c435559e70803a6229a7987e4
2,B_correlated_stress,RQ4,H3,4,joint_crypto_empirical_stress__stable_supported,stable_supported,joint_crypto_empirical_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,ac8e03c1cd788cd3b21be4ba05038b151f1dd8d12b45c06b64924d44b1699ba1
2,B_correlated_stress,RQ4,H3,5,joint_crypto_high_correlation__eth_only,eth_only,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,d64702632587cc169dca55c7f93995f6f680cce982f33f66e99abe05133852e8
2,B_correlated_stress,RQ4,H3,6,joint_crypto_high_correlation__empirical_crypto,empirical_crypto,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,00c6661013ee808c3d4083302976983c25dc9a6d6c7cd138a264dcd8f21c7a5d
2,B_correlated_stress,RQ4,H3,7,joint_crypto_high_correlation__balanced_crypto,balanced_crypto,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,02a010d81c08377c94abfed711c85e4f20ebd428640112223b7ffde9d7530200
2,B_correlated_stress,RQ4,H3,8,joint_crypto_high_correlation__stable_supported,stable_supported,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,a89f79d02cb8fbcfc819baf894ce12d88dbe937b8ca68bcceb237ee4714d4db0
3,C_stable_collateral_tradeoff,RQ4,H3,1,joint_crypto_high_correlation__empirical_crypto,empirical_crypto,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,bf183001addb9989f0a3796f4fa8f131f783ef609c0c78591d9f24ede66f2937
3,C_stable_collateral_tradeoff,RQ4,H3,2,joint_crypto_high_correlation__stable_supported,stable_supported,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,bc8f45be78952c945db30625b33932156d529110697559b3c7610d5b55feec54
3,C_stable_collateral_tradeoff,RQ4,H3,3,joint_crypto_high_correlation__stable_heavy,stable_heavy,joint_crypto_high_correlation,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,b802087753fead6f0109a4564b4354a68a153eec39ee6cb411f3e8df9343533a
3,C_stable_collateral_tradeoff,RQ4,H3,4,stable_depeg_moderate__empirical_crypto,empirical_crypto,stable_depeg_moderate,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,83442939bae279b996ba2e34b2116bb380e0a1853cc0a70c397ff39bfe2ee8e2
3,C_stable_collateral_tradeoff,RQ4,H3,5,stable_depeg_moderate__stable_supported,stable_supported,stable_depeg_moderate,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,f2264540eb106b230057d6bcac8ae7611718564e7e3672460380425b28eb04b5
3,C_stable_collateral_tradeoff,RQ4,H3,6,stable_depeg_moderate__stable_heavy,stable_heavy,stable_depeg_moderate,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,4b18a718c467eb31c6a07a401acc7ded211dea6b27e77fe66364a2744d5620db
3,C_stable_collateral_tradeoff,RQ4,H3,7,stable_depeg_severe__empirical_crypto,empirical_crypto,stable_depeg_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,9cdc18c53940850ee3a8b8cd0a76756a2e43887552a7ef16133d3ce4649b19bd
3,C_stable_collateral_tradeoff,RQ4,H3,8,stable_depeg_severe__stable_supported,stable_supported,stable_depeg_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,1de2dd15f69265cb05a8ae0253ed149c3396d515212549458753c6fd6b0848db
3,C_stable_collateral_tradeoff,RQ4,H3,9,stable_depeg_severe__stable_heavy,stable_heavy,stable_depeg_severe,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,5a8c95986e14d40c90ff84b0f9540dfcc958119157f57f55d0e3c73a04fb12a5
3,C_stable_collateral_tradeoff,RQ4,H3,10,joint_crypto_stable_stress__empirical_crypto,empirical_crypto,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,1bdd0c4fb989afc5229552143bd0cd9e59c62e315d552295b2b47373d411263c
3,C_stable_collateral_tradeoff,RQ4,H3,11,joint_crypto_stable_stress__stable_supported,stable_supported,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,ed393f6672beaf42a8d6a25a294d0104abfe6a15229df1c980decf40f2516b47
3,C_stable_collateral_tradeoff,RQ4,H3,12,joint_crypto_stable_stress__stable_heavy,stable_heavy,joint_crypto_stable_stress,shared_keeper_capacity_central,26,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,445d24581b655a83cce1ba9e76aa0c3233476fc39b061644a389e052de4d1700
4,D_shared_keeper_capacity,RQ2;RQ4,H1;H3,1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto,joint_crypto_high_correlation,shared_keeper_capacity_low,14,stage1_only,direct_cost_only,0,transparent_zero_delay_baseline,0,128,preregistered_not_executed,d96ecba966fc94b8bb2584a63af3c7ba95f654629f5c6c2af703a36c2b0bb870
