cell_identifier,recovery_path,confidence_scenario,metric,replication_count,mean,standard_error,ci_lower,ci_upper,median,q25,q75,q05,q95,censoring_share,numerical_valid_count
persistent_trough__stage1_only,persistent_trough,stage1_only,below_peg_burden,128,0.25834208464060465,0.004306422873520314,0.24990149580850485,0.26678267347270446,0.2613163477917045,0.22442007734945787,0.2901193718752293,0.17623144299207744,0.3372569980820179,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,restricted_mean_recovery_time,128,70.203125,15.294659015855641,40.22559332892294,100.18065667107706,0.0,0.0,0.0,0.0,555.1999999999994,0.0078125,128
persistent_trough__stage1_only,persistent_trough,stage1_only,recovery_probability_168h,128,0.8515625,0.0315484639796987,0.7897275105997905,0.9133974894002095,1.0,1.0,1.0,0.0,1.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,recovery_probability_720h,128,0.9921875,0.0078125,0.976875,1.0075,1.0,1.0,1.0,1.0,1.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,maximum_unresolved_tab_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,cumulative_realised_bad_debt_dai,128,8.246528460098546e-13,5.574898038659731e-14,7.153848444521239e-13,9.339208475675853e-13,5.062616992290714e-13,5.062616992290714e-13,1.0125233984581428e-12,0.0,2.0250467969162855e-12,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,recovery_probability_48h,128,0.8203125,0.03406800775380022,0.7535392048025515,0.8870857951974485,1.0,1.0,1.0,0.0,1.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,recovery_probability_336h,128,0.90625,0.025864720370468334,0.8555551480738821,0.9569448519261179,1.0,1.0,1.0,0.0,1.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,minimum_dai_price,128,0.9960353514160765,9.155381448758226e-05,0.9958559059396808,0.9962147968924722,0.996128061335883,0.9953790065693664,0.9968284644390325,0.9942038363884949,0.9974600725473795,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,maximum_negative_peg_deviation,128,0.003964648583923562,9.155381448758226e-05,0.0037852031075279007,0.004144094060319223,0.0038719386641169473,0.0031715355609675255,0.00462099343063363,0.002539927452620516,0.005796163611505195,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,mean_absolute_peg_deviation,128,0.0006082348581146245,7.000986474063856e-06,0.0005945129246254594,0.0006219567916037897,0.0006056094785465006,0.0005525300303892731,0.0006534367296708661,0.0004898262199548245,0.0007479061143962001,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,hours_below_0995,128,0.2578125,0.06100182099022959,0.13824893085915002,0.37737606914085,0.0,0.0,0.0,0.0,2.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,hours_above_1005,128,0.0859375,0.042998099765168156,0.0016612244602704218,0.17021377553972958,0.0,0.0,0.0,0.0,0.0,0.0,128
