contrast_family,contrast,metric,paired_estimate,standard_error,ci_lower,ci_upper,median_paired_difference,q25_paired_difference,q75_paired_difference,expected_direction,expected_direction_flag,support_flag,discordant_positive_count,discordant_negative_count
recovery_path,partial_week - persistent_trough | stage1_only,below_peg_burden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,restricted_mean_recovery_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,recovery_probability_168h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,recovery_probability_720h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,maximum_unresolved_tab_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,cumulative_realised_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,recovery_probability_48h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,recovery_probability_336h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,minimum_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,maximum_negative_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,mean_absolute_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,hours_below_0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,hours_above_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,first_return_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,failed_recovery_attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,final_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,final_peg_band_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,peak_liquidatable_vaults,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,peak_share_liquidatable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,cumulative_debt_repaid_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,completed_liquidation_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,unprofitable_attempt_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,capacity_rejected_opportunities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,unresolved_tab_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,active_bad_debt_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,maximum_active_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,keeper_profit_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,minimum_confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,mean_confidence_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,hours_at_confidence_floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,hours_recovery_gate_closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,first_recovery_gate_open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,recovery_gate_reopenings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,cumulative_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,maximum_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,partial_week - persistent_trough | stage1_only,confidence_at_horizon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,below_peg_burden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,restricted_mean_recovery_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,recovery_probability_168h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,recovery_probability_720h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,maximum_unresolved_tab_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,cumulative_realised_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,recovery_probability_48h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,recovery_probability_336h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,minimum_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,maximum_negative_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,mean_absolute_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,hours_below_0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,hours_above_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,first_return_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,failed_recovery_attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,final_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,final_peg_band_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,peak_liquidatable_vaults,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,peak_share_liquidatable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,cumulative_debt_repaid_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,completed_liquidation_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,unprofitable_attempt_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,capacity_rejected_opportunities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,unresolved_tab_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,active_bad_debt_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,maximum_active_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,keeper_profit_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,minimum_confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,mean_confidence_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,hours_at_confidence_floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,hours_recovery_gate_closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,first_recovery_gate_open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,recovery_gate_reopenings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,cumulative_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,maximum_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,full_week - persistent_trough | stage1_only,confidence_at_horizon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,below_peg_burden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,restricted_mean_recovery_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,recovery_probability_168h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,recovery_probability_720h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,maximum_unresolved_tab_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,cumulative_realised_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,recovery_probability_48h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,recovery_probability_336h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,minimum_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,maximum_negative_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,mean_absolute_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,hours_below_0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,hours_above_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,first_return_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,failed_recovery_attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,final_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,final_peg_band_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,peak_liquidatable_vaults,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,peak_share_liquidatable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,cumulative_debt_repaid_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,completed_liquidation_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
recovery_path,rapid_full - persistent_trough | stage1_only,unprofitable_attempt_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive,False,False,0,0
