confidence_scenario,recovery_path,metric,difference_in_differences,standard_error,ci_lower,ci_upper,median,q25,q75,direction,material_interaction_flag,mechanism_diagnostics
confidence_resilient,partial_week,below_peg_burden,2.301978052621223e-15,9.31146156510603e-16,4.769315858604411e-16,4.1270245193820045e-15,0.0,-3.885780586188048e-16,5.384581669432009e-15,positive,False,paired CRN difference-in-differences
confidence_resilient,partial_week,restricted_mean_recovery_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,recovery_probability_168h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,recovery_probability_720h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,maximum_unresolved_tab_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,cumulative_realised_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,recovery_probability_48h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,recovery_probability_336h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,minimum_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,maximum_negative_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,mean_absolute_peg_deviation,7.966344868926695e-19,9.638919149227712e-19,-1.0925936663559618e-18,2.6858626401413007e-18,0.0,-1.111307226797642e-18,3.0899761915836876e-18,positive,False,paired CRN difference-in-differences
confidence_resilient,partial_week,hours_below_0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,hours_above_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,first_return_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,failed_recovery_attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,final_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,final_peg_band_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,peak_liquidatable_vaults,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,peak_share_liquidatable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,cumulative_debt_repaid_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,completed_liquidation_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,unprofitable_attempt_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,capacity_rejected_opportunities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,unresolved_tab_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,active_bad_debt_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,maximum_active_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,keeper_profit_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,minimum_confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,mean_confidence_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,hours_at_confidence_floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,hours_recovery_gate_closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,first_recovery_gate_open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,recovery_gate_reopenings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,cumulative_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,maximum_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,partial_week,confidence_at_horizon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,below_peg_burden,2.301978052621223e-15,9.31146156510603e-16,4.769315858604411e-16,4.1270245193820045e-15,0.0,-3.885780586188048e-16,5.384581669432009e-15,positive,False,paired CRN difference-in-differences
confidence_resilient,full_week,restricted_mean_recovery_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,recovery_probability_168h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,recovery_probability_720h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,maximum_unresolved_tab_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,cumulative_realised_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,recovery_probability_48h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,recovery_probability_336h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,minimum_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,maximum_negative_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,mean_absolute_peg_deviation,7.966344868926695e-19,9.638919149227712e-19,-1.0925936663559618e-18,2.6858626401413007e-18,0.0,-1.111307226797642e-18,3.0899761915836876e-18,positive,False,paired CRN difference-in-differences
confidence_resilient,full_week,hours_below_0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,hours_above_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,first_return_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,failed_recovery_attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,final_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,final_peg_band_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,peak_liquidatable_vaults,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,peak_share_liquidatable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,cumulative_debt_repaid_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,completed_liquidation_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,unprofitable_attempt_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,capacity_rejected_opportunities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,unresolved_tab_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,active_bad_debt_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,maximum_active_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,keeper_profit_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,minimum_confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,mean_confidence_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,hours_at_confidence_floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,hours_recovery_gate_closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,first_recovery_gate_open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,recovery_gate_reopenings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,cumulative_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,maximum_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,full_week,confidence_at_horizon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,below_peg_burden,2.301978052621223e-15,9.31146156510603e-16,4.769315858604411e-16,4.1270245193820045e-15,0.0,-3.885780586188048e-16,5.384581669432009e-15,positive,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,restricted_mean_recovery_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,recovery_probability_168h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,recovery_probability_720h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,maximum_unresolved_tab_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,cumulative_realised_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,recovery_probability_48h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,recovery_probability_336h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,minimum_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,maximum_negative_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,mean_absolute_peg_deviation,7.966344868926695e-19,9.638919149227712e-19,-1.0925936663559618e-18,2.6858626401413007e-18,0.0,-1.111307226797642e-18,3.0899761915836876e-18,positive,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,hours_below_0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,hours_above_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,first_return_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,failed_recovery_attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,final_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,final_peg_band_status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,peak_liquidatable_vaults,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,peak_share_liquidatable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,cumulative_debt_repaid_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,completed_liquidation_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,unprofitable_attempt_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,capacity_rejected_opportunities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,unresolved_tab_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,active_bad_debt_at_horizon_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,maximum_active_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,keeper_profit_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,minimum_confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,mean_confidence_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,hours_at_confidence_floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,hours_recovery_gate_closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,first_recovery_gate_open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,recovery_gate_reopenings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,cumulative_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,maximum_panic_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_resilient,rapid_full,confidence_at_horizon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,below_peg_burden,1.7459991785706563e-15,1.5584438902268257e-15,-1.3085508462739222e-15,4.800549203415235e-15,1.887379141862766e-15,-1.4988010832439613e-14,1.790234627208065e-14,positive,False,paired CRN difference-in-differences
confidence_central,partial_week,restricted_mean_recovery_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,recovery_probability_168h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,recovery_probability_720h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,maximum_unresolved_tab_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,cumulative_realised_bad_debt_dai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,recovery_probability_48h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,recovery_probability_336h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,minimum_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,maximum_negative_peg_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,mean_absolute_peg_deviation,1.0401564592282808e-18,1.4775366015600808e-18,-1.8558152798294775e-18,3.936128198286039e-18,2.168404344971009e-18,-1.3552527156068805e-17,1.5748036555351952e-17,positive,False,paired CRN difference-in-differences
confidence_central,partial_week,hours_below_0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,hours_above_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,first_return_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,failed_recovery_attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
confidence_central,partial_week,final_dai_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,False,paired CRN difference-in-differences
