cell_order,cell_identifier,recovery_path,confidence_scenario,baseline_sha256,path_sha256,scenario_sha256,replication_count,cell_sha256
1,persistent_trough__stage1_only,persistent_trough,stage1_only,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,128,896f0a27953f96b87da631a752c234da060e682e9cb7d3cc70f4578ac034981c
2,persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,bab43e8173119ce5afe83a88f06017adecf59343368e37f65aa6a0d8194d2db3,128,271e64bdb397f30ab8d063c1c6cb528a4d99ec695be5675293b442c215f20975
3,persistent_trough__confidence_central,persistent_trough,confidence_central,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,83040e17842cf701b9b5d09b1c438bfc5d23a78c403a3efc75d7f199d9b744b6,128,2ba67169974bbabfa2230abaadfbcd0dde5579a129856fbec6ca83178a8b5fce
4,persistent_trough__confidence_fragile,persistent_trough,confidence_fragile,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fbe1e92c038a60f662e59178e77d7fcbfa0571a76d6c90494f7ec8b05f5239f5,4cd7b342d7d09e9dde3e017a755355e20aaf91affe0c0c8b3c9868a341f627ff,128,f837aec647780bfc318136fd74d761bb2049f808517350e11b09e37693f8367c
5,partial_week__stage1_only,partial_week,stage1_only,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fa40d8e5c219b57e7ae9bf462118cdfabdab106f942161186a80bd52223950f0,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,128,ac8a1c6d03ec4c9a6f63238dfd1f1f66f50fba875ab53981c46dcf197904799e
6,partial_week__confidence_resilient,partial_week,confidence_resilient,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fa40d8e5c219b57e7ae9bf462118cdfabdab106f942161186a80bd52223950f0,bab43e8173119ce5afe83a88f06017adecf59343368e37f65aa6a0d8194d2db3,128,48bd46a50cbafe04fe8ceb13396d090d493ca6f5da0dd43fc28ac72c8c1771c1
7,partial_week__confidence_central,partial_week,confidence_central,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fa40d8e5c219b57e7ae9bf462118cdfabdab106f942161186a80bd52223950f0,83040e17842cf701b9b5d09b1c438bfc5d23a78c403a3efc75d7f199d9b744b6,128,3f57ff38e3244c4c81acde29f646b531e5c9f5d7967d31594ad5eb4ac1100754
8,partial_week__confidence_fragile,partial_week,confidence_fragile,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,fa40d8e5c219b57e7ae9bf462118cdfabdab106f942161186a80bd52223950f0,4cd7b342d7d09e9dde3e017a755355e20aaf91affe0c0c8b3c9868a341f627ff,128,0a23c4a07883dbbc707cf863d4b840c26a6e18fbbb30c71ba51d208c9a4d81b0
9,full_week__stage1_only,full_week,stage1_only,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,f175c9111380499b2b7d71d32a4ac6f42cc3f8bc3d196c7fded95cb87a2c4d3b,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,128,c850015802fbf4d27b378b2843823d09a4e7790f96083d194b36a0634f20dc0f
10,full_week__confidence_resilient,full_week,confidence_resilient,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,f175c9111380499b2b7d71d32a4ac6f42cc3f8bc3d196c7fded95cb87a2c4d3b,bab43e8173119ce5afe83a88f06017adecf59343368e37f65aa6a0d8194d2db3,128,aa406e316f4fe9baac6005388f83a1d16f203d043e29bb3a3f1ecd3e53fc9082
11,full_week__confidence_central,full_week,confidence_central,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,f175c9111380499b2b7d71d32a4ac6f42cc3f8bc3d196c7fded95cb87a2c4d3b,83040e17842cf701b9b5d09b1c438bfc5d23a78c403a3efc75d7f199d9b744b6,128,6e8c4946083a3e04569ddd69bd04e0da9045dff0dd59deeb92cd4a32d412c660
12,full_week__confidence_fragile,full_week,confidence_fragile,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,f175c9111380499b2b7d71d32a4ac6f42cc3f8bc3d196c7fded95cb87a2c4d3b,4cd7b342d7d09e9dde3e017a755355e20aaf91affe0c0c8b3c9868a341f627ff,128,0ff112da3209cc691ba289e05cbef60f7360a0ae89c033835edf72e2764c4b37
13,rapid_full__stage1_only,rapid_full,stage1_only,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,ffff5b9a7636a1b38172f92de34f6cdf0d92b502bdce9dc57b284c98b85d52bc,dd21e67e622c97d474c417c5e27cd6e66e89c5dfb7ca7f854043b004c0b67d56,128,beb048e6ba80a3cce8dc2f3672e0482cfc56f3eacd3d1764d018c5cc3667a4cc
14,rapid_full__confidence_resilient,rapid_full,confidence_resilient,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,ffff5b9a7636a1b38172f92de34f6cdf0d92b502bdce9dc57b284c98b85d52bc,bab43e8173119ce5afe83a88f06017adecf59343368e37f65aa6a0d8194d2db3,128,250fd6e4cf167fea77e6fd9a65b58a76a8c50db6b20056c80b54f3780b5d1f43
15,rapid_full__confidence_central,rapid_full,confidence_central,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,ffff5b9a7636a1b38172f92de34f6cdf0d92b502bdce9dc57b284c98b85d52bc,83040e17842cf701b9b5d09b1c438bfc5d23a78c403a3efc75d7f199d9b744b6,128,dfcb4a4cf8c7cea55b006a6ac67f6b37f894e42cac059f6e4b5e3f92068845ed
16,rapid_full__confidence_fragile,rapid_full,confidence_fragile,6de53071749fc504865ef760488003ab4733b58e8a6ce692144ca8e74ab9284a,ffff5b9a7636a1b38172f92de34f6cdf0d92b502bdce9dc57b284c98b85d52bc,4cd7b342d7d09e9dde3e017a755355e20aaf91affe0c0c8b3c9868a341f627ff,128,705e1c23b00caa198672fc8f4d08e849673c8645780be28376b2634fea15e333
